"canonical_label","cluster_size","mode","confirmed_by","confirmed_at","source","notes","residuals_subcategory","residuals_subexplanation"
"Low Acceptance Of Atg Tests","1","r","TBS","2026-04-19T12:23:41+00:00","step4_llmassist","","outcome","Measures the negative effect on user satisfaction and the resulting low acceptance rate."
"Version Rollback Feature","1","r","TBS","2026-04-19T12:47:13+00:00","step4_llmassist","","affordance","Describes a specific tooling feature that enables users to revert changes during their workflow."
"Requirement Reverse Engineering","1","5","TBS","2026-04-19T12:27:41+00:00","step4_llmassist","","",""
"Activating Predictive Text Suggestions","2","1","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Perceived Educational Value","1","r","TBS","2026-04-19T12:25:14+00:00","step4_llmassist","","outcome","Measures the perceived learning gain and educational effect experienced by the user."
"Textbook Question Answering","1","2","TBS","2026-04-19T12:46:37+00:00","step4_llmassist","","",""
"Adoption Success Performance Correlation","2","r","TBS","2026-04-19T11:16:09+00:00","step4_llmassist","","meta","Describes a research finding that correlates adoption rates with productivity outcomes."
"Simulating Diverse Personas","1","2","TBS","2026-04-19T12:40:50+00:00","step4_llmassist","","",""
"LLM Driven Test Synthesis","5","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Repetitive Generic Questions","1","2","TBS","2026-04-19T12:27:37+00:00","step4_llmassist","","",""
"Interdependent Task Coherence","1","r","TBS","2026-04-19T12:21:52+00:00","step4_llmassist","","outcome","Measures the effect on accuracy and logical consistency across multiple related tasks."
"Popular Languages","1","r","TBS","2026-04-19T12:25:23+00:00","step4_llmassist","","meta","Represents a research framing or observation regarding the prevalence of certain programming languages."
"Syntax And Parameter Hallucinations","1","r","TBS","2026-04-19T12:46:16+00:00","step4_llmassist","","outcome","Measures a negative effect on accuracy characterized by the generation of hallucinated code."
"Syntax Correction Capability","1","r","TBS","2026-04-19T12:46:17+00:00","step4_llmassist","","affordance","Describes an enabling tooling capability that shapes user interactions."
"Review Speed Quality Tradeoffs","4","4","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"LLM Driven Code Repair","2","5","TBS","2026-04-19T11:26:37+00:00","step4_llmassist","","",""
"Standardized Prompting Frameworks","2","2","TBS","2026-04-19T11:29:28+00:00","step4_llmassist","","",""
"Project Documentation","1","r","TBS","2026-04-19T12:26:08+00:00","step4_llmassist","","affordance","Represents an enabling artifact or surface that provides context for interactions."
"Comprehensive Development Lifecycle Integration","2","r","TBS","2026-04-19T11:18:33+00:00","step4_llmassist","","affordance","Describes the depth of integration across the software development lifecycle."
"Autonomous Compilation Error Resolution","2","5","TBS","2026-04-19T11:18:00+00:00","step4_llmassist","","",""
"User Behavior With False Predictions","1","4","TBS","2026-04-19T12:47:01+00:00","step4_llmassist","","",""
"Participant Sample Size","1","r","TBS","2026-04-19T12:25:09+00:00","step4_llmassist","","meta","Refers to research methodology and study design rather than the interaction itself."
"Hybrid Empirical Assessment","2","r","TBS","2026-04-19T11:25:04+00:00","step4_llmassist","","meta","Describes the research methodology and evaluation setup used to study the phenomenon."
"Self-Hosting For Security","1","r","TBS","2026-04-19T12:40:25+00:00","step4_llmassist","","meta","Identifies an adoption driver related to security and deployment preferences."
"Mixed User Base","1","r","TBS","2026-04-19T12:24:04+00:00","step4_llmassist","","meta","Describes the demographic framing of the study participants."
"Static Non-Interactive Feedback","1","4","TBS","2026-04-19T12:44:52+00:00","step4_llmassist","","",""
"Moderate Answer Accuracy","1","r","TBS","2026-04-19T12:24:08+00:00","step4_llmassist","","outcome","Measures the accuracy outcome of the system's responses."
"Persona-Based Usability Evaluation","1","r","TBS","2026-04-19T12:25:17+00:00","step4_llmassist","","meta","Describes a specific research methodology used to evaluate the system."
"Statistical Insignificance","1","r","TBS","2026-04-19T12:44:55+00:00","step4_llmassist","","meta","Represents a statistical finding about the research methodology and results."
"Practitioner Pushback","1","r","TBS","2026-04-19T12:25:31+00:00","step4_llmassist","","meta","Describes an adoption inhibitor or negative reaction from practitioners."
"User Fulfillment And Productivity","1","r","TBS","2026-04-19T12:47:02+00:00","step4_llmassist","","outcome","Measures the effects of the interaction on user productivity and satisfaction."
"User Study Demographics","1","r","TBS","2026-04-19T12:47:06+00:00","step4_llmassist","","meta","Refers to the demographic framing and methodology of the research study."
"Reduced Public Help-Seeking","1","r","TBS","2026-04-19T12:27:21+00:00","step4_llmassist","","outcome","Measures a behavioral effect or outcome resulting from the interaction."
"Testing Frameworks Integration","1","r","TBS","2026-04-19T12:46:34+00:00","step4_llmassist","","affordance","Describes an enabling integration with testing tools that shapes workflows."
"Sequential Screen Reader Processing","1","r","TBS","2026-04-19T12:40:38+00:00","step4_llmassist","","constraint","Describes a limiting condition of screen readers that constrains information processing."
"Zero-Shot Prompting","1","2","TBS","2026-04-19T12:48:06+00:00","step4_llmassist","","",""
"User Profiling Mechanism","1","r","TBS","2026-04-19T12:47:03+00:00","step4_llmassist","","affordance","Describes an enabling mechanism or tooling feature that shapes system behavior."
"Format Limitation","1","r","TBS","2026-04-19T12:17:04+00:00","step4_llmassist","","constraint","Explicitly describes a limiting condition or restriction on the interaction format."
"Self-Contradictory Behavior","1","r","TBS","2026-04-19T12:40:22+00:00","step4_llmassist","","outcome","Measures a negative effect or error outcome in the system's generated responses."
"Multi-Agent Rule Refinement","1","5","TBS","2026-04-19T12:24:18+00:00","step4_llmassist","","",""
"Missing Version Constraints","1","r","TBS","2026-04-19T12:24:02+00:00","step4_llmassist","","constraint","Describes a limiting condition where necessary version information is absent."
"Content Deletion Action","1","r","TBS","2026-04-19T12:06:25+00:00","step4_llmassist","","affordance","Describes an enabling feature or tooling capability provided within the interface."
"Iterative AI Code Troubleshooting","2","2","TBS","2026-04-19T11:25:47+00:00","step4_llmassist","","",""
"Hybrid Llm-Heuristic Localization","1","4","TBS","2026-04-19T12:19:11+00:00","step4_llmassist","","",""
"Valuable Study Aid","1","r","TBS","2026-04-19T12:47:08+00:00","step4_llmassist","","outcome","Measures the perceived utility and positive effect of the tool on user learning."
"Workflow Convenience","1","r","TBS","2026-04-19T12:47:49+00:00","step4_llmassist","","outcome","Measures a positive effect on user satisfaction and ease of use."
"Separating Task From Format","1","2","TBS","2026-04-19T12:40:36+00:00","step4_llmassist","","",""
"Project-Based Evaluation","1","r","TBS","2026-04-19T12:26:11+00:00","step4_llmassist","","meta","Describes a research methodology or framing used to assess the tool."
"Speed Efficiency","1","r","TBS","2026-04-19T12:44:41+00:00","step4_llmassist","","outcome","Measures the direct effect of the interaction on velocity and productivity."
"Structured Metacognitive Reasoning","1","2","TBS","2026-04-19T12:45:53+00:00","step4_llmassist","","",""
"Need For Customization","1","r","TBS","2026-04-19T12:24:24+00:00","step4_llmassist","","meta","Identifies a user requirement that acts as an adoption driver or inhibitor."
"Quantum Circuit Generation","1","5","TBS","2026-04-19T12:26:41+00:00","step4_llmassist","","",""
"Rule-Grounded Explainability","1","r","TBS","2026-04-19T12:39:44+00:00","step4_llmassist","","affordance","Describes the tooling depth and underlying mechanism that enables system interpretability."
"Competence Driving Technology Adoption","2","r","TBS","2026-04-19T11:18:29+00:00","step4_llmassist","","meta","Explicitly identifies a skill-based factor driving the adoption of the technology."
"Relationship Extraction Difficulty","1","r","TBS","2026-04-19T12:27:27+00:00","step4_llmassist","","constraint","Describes a limiting condition or friction point in system processing capabilities."
"Risk Of Shallow Learning","1","r","TBS","2026-04-19T12:39:43+00:00","step4_llmassist","","outcome","Measures a potential negative effect on user learning gains and comprehension."
"Verifying Correctness","1","4","TBS","2026-04-19T12:47:12+00:00","step4_llmassist","","",""
"Scalable Automated Evaluation","1","4","TBS","2026-04-19T12:39:50+00:00","step4_llmassist","","",""
"Workload Reduction","1","r","TBS","2026-04-19T12:47:53+00:00","step4_llmassist","","outcome","Measures a direct positive effect on user productivity and effort reduction."
"Issue-Specific Review Challenges","1","4","TBS","2026-04-19T12:22:22+00:00","step4_llmassist","","",""
"Increased Localization Success Rate","1","r","TBS","2026-04-19T12:20:57+00:00","step4_llmassist","","outcome","Measures a quantitative improvement in task accuracy and overall success."
"High Recommendation Accuracy","1","r","TBS","2026-04-19T12:18:29+00:00","step4_llmassist","","outcome","Measures the accuracy and effectiveness of the system's generated outputs."
"Office Hour Augmentation","1","r","TBS","2026-04-19T12:24:51+00:00","step4_llmassist","","affordance","Describes an enabling integration that shapes how educational support is provided."
"Faster Prototyping","1","r","TBS","2026-04-19T12:16:12+00:00","step4_llmassist","","outcome","Measures a direct improvement in engineering velocity and workflow productivity."
"Increased Merge Probability","1","r","TBS","2026-04-19T12:20:59+00:00","step4_llmassist","","outcome","Measures a quantitative effect on task success and workflow outcomes."
"Manual Terminology Refinement","1","r","TBS","2026-04-19T12:23:56+00:00","step4_llmassist","","affordance","Describes a tooling workflow and enabling surface for user-driven corrections."
"Comprehensive Requirement Specification","2","r","TBS","2026-04-19T11:18:34+00:00","step4_llmassist","","outcome","Measures an improvement in the quality and coverage of generated outputs."
"Text Input Friction","1","r","TBS","2026-04-19T12:46:36+00:00","step4_llmassist","","constraint","Describes a limiting condition that adds cognitive load or interaction latency."
"Context Extraction Via Pdg","1","r","TBS","2026-04-19T12:06:26+00:00","step4_llmassist","","affordance","Describes an underlying tooling integration and enabling mechanism for context gathering."
"Visual Failure Organization","1","r","TBS","2026-04-19T12:47:18+00:00","step4_llmassist","","affordance","Describes a visual tooling feature or surface designed to organize and present failures."
"Reduced Search Effort","1","r","TBS","2026-04-19T12:27:23+00:00","step4_llmassist","","outcome","Measures a positive effect of the interaction, specifically a reduction in user effort."
"Precise Fault Localization","2","4","TBS","2026-04-19T11:27:42+00:00","step4_llmassist","","",""
"Visual Sequential Code Tracing","2","4","TBS","2026-04-19T11:29:56+00:00","step4_llmassist","","",""
"Motion Recording Support","1","r","TBS","2026-04-19T12:24:14+00:00","step4_llmassist","","affordance","Describes an enabling tooling capability or feature support within the system."
"Real-Time Troubleshooting Help","1","r","TBS","2026-04-19T12:27:00+00:00","step4_llmassist","","affordance","Describes an enabling support surface or tooling capability provided to the user."
"Model Insensitivity To Prompt Patterns","1","r","TBS","2026-04-19T12:24:07+00:00","step4_llmassist","","constraint","Describes a limiting condition where the model fails to respond effectively to prompt patterns."
"Automated Technical Asset Synthesis","2","5","TBS","2026-04-19T11:17:39+00:00","step4_llmassist","","",""
"Popup Ui Helpfulness","1","r","TBS","2026-04-19T12:25:24+00:00","step4_llmassist","","outcome","Measures the helpfulness or user satisfaction derived from a specific UI surface."
"Decision Support","1","r","TBS","2026-04-19T12:11:53+00:00","step4_llmassist","","affordance","Describes an enabling capability or tooling depth that shapes user interactions and choices."
"Structured Test Design Assistance","2","5","TBS","2026-04-19T11:29:37+00:00","step4_llmassist","","",""
"Post-Interaction Evaluation","1","4","TBS","2026-04-19T12:25:26+00:00","step4_llmassist","","",""
"Pattern Detection Performance","1","r","TBS","2026-04-19T12:25:12+00:00","step4_llmassist","","outcome","Measures the performance or accuracy effect of the system's detection capabilities."
"Detection Performance Levels","2","r","TBS","2026-04-19T11:19:24+00:00","step4_llmassist","","outcome","Measures the accuracy outcomes and varying performance levels of the system."
"User Ranking Of Ai Outputs","1","4","TBS","2026-04-19T12:47:04+00:00","step4_llmassist","","",""
"Poor Relationship Identification","1","r","TBS","2026-04-19T12:25:23+00:00","step4_llmassist","","constraint","Describes a limiting condition or failure in the system's capability to connect concepts."
"Coding Performance Distinction","1","r","TBS","2026-04-19T12:04:15+00:00","step4_llmassist","","outcome","Measures the effect on coding performance, velocity, or accuracy differences."
"Tam Motivational Factors","1","r","TBS","2026-04-19T12:46:21+00:00","step4_llmassist","","meta","Relates to adoption drivers and theoretical models of technology acceptance."
"Semantic Reasoning Limits","1","r","TBS","2026-04-19T12:40:32+00:00","step4_llmassist","","constraint","Explicitly describes a limiting condition in the system's reasoning capabilities."
"Prior Knowledge Application","1","r","TBS","2026-04-19T12:25:41+00:00","step4_llmassist","","meta","Represents a meta-observation about user background and how it shapes the phenomenon."
"Opaque Input-Output Mapping","1","r","TBS","2026-04-19T12:24:57+00:00","step4_llmassist","","constraint","Describes a limiting condition where the system's mapping is unclear, increasing cognitive load."
"Taxonomy-Guided Prompting","1","2","TBS","2026-04-19T12:46:30+00:00","step4_llmassist","","",""
"Quiz-Based Learning","1","r","TBS","2026-04-19T12:26:54+00:00","step4_llmassist","","affordance","Describes an enabling surface or educational tooling format that shapes the interaction."
"Missing Domain Knowledge","1","r","TBS","2026-04-19T12:24:00+00:00","step4_llmassist","","constraint","Describes a limiting condition related to a user or system skill gap."
"Impact Analysis Workflow","1","5","TBS","2026-04-19T12:20:16+00:00","step4_llmassist","","",""
"User Specifies Test Output","1","5","TBS","2026-04-19T12:47:05+00:00","step4_llmassist","","",""
"Testing Lifecycle Distribution","1","r","TBS","2026-04-19T12:46:35+00:00","step4_llmassist","","meta","Represents a meta-observation or research framing about the distribution of testing phases."
"Scratchpad Reasoning Tracking","1","3","TBS","2026-04-19T12:40:14+00:00","step4_llmassist","overrode LLM r -> 3","",""
"Visual Workflow Development","1","3","TBS","2026-04-19T12:47:36+00:00","step4_llmassist","","",""
"Transition To Task Specification","1","r","TBS","2026-04-19T12:46:51+00:00","step4_llmassist","","meta","Describes a research framing or observation about workflow phases and transitions."
"Automated UML Design Synthesis","2","5","TBS","2026-04-19T11:17:51+00:00","step4_llmassist","","",""
"Targeted Explanation Generation","1","2","TBS","2026-04-19T12:46:23+00:00","step4_llmassist","","",""
"Quantitative Security Increase","1","r","TBS","2026-04-19T12:26:39+00:00","step4_llmassist","","outcome","Measures a specific, quantitative positive effect or improvement in security."
"Feature Popularity","1","r","TBS","2026-04-19T12:16:15+00:00","step4_llmassist","","meta","Describes an adoption metric and observation about usage rather than a direct effect or system surface."
"Dynamic Content Reformulation","1","2","TBS","2026-04-19T12:13:30+00:00","step4_llmassist","","",""
"Iterative Prompting Techniques","2","2","TBS","2026-04-19T11:26:05+00:00","step4_llmassist","","",""
"Modification Before Merging","1","4","TBS","2026-04-19T12:24:12+00:00","step4_llmassist","","",""
"Keyboard Navigation Issues","1","r","TBS","2026-04-19T12:22:32+00:00","step4_llmassist","","constraint","Describes a friction point or limitation in the user interface that restricts seamless interaction."
"System Architecture","1","r","TBS","2026-04-19T12:46:19+00:00","step4_llmassist","","affordance","Describes the underlying enabling structure and tooling depth that shapes how interactions are supported."
"Need For Developer Review","1","4","TBS","2026-04-19T12:24:26+00:00","step4_llmassist","","",""
"Struggle With Complex Usages","1","r","TBS","2026-04-19T12:45:56+00:00","step4_llmassist","","constraint","Describes a skill gap or cognitive limitation that restricts the user's ability to interact effectively."
"Positive Developer Reception","2","r","TBS","2026-04-19T11:27:40+00:00","step4_llmassist","","outcome","Measures the effect of an interaction in terms of user satisfaction and positive sentiment."
"Domain Convention Misalignment","1","r","TBS","2026-04-19T12:13:20+00:00","step4_llmassist","","constraint","Describes a limiting condition where the system or user fails to align with expected domain rules."
"Creative Concept Exploration","2","2","TBS","2026-04-19T11:19:11+00:00","step4_llmassist","","",""
"Self-Healing Test Scripts","1","5","TBS","2026-04-19T12:40:24+00:00","step4_llmassist","","",""
"Prompt-Engineered Seed Generation","1","2","TBS","2026-04-19T12:26:26+00:00","step4_llmassist","","",""
"Traceability Limitations","1","r","TBS","2026-04-19T12:46:48+00:00","step4_llmassist","","constraint","Explicitly names a restriction or limiting condition in the system's tracking capabilities."
"Task Decomposition To Spec","1","5","TBS","2026-04-19T12:46:27+00:00","step4_llmassist","","",""
"Improved Fuzzing Coverage","1","r","TBS","2026-04-19T12:20:20+00:00","step4_llmassist","","outcome","Measures a positive performance effect and accuracy gain resulting from the interaction."
"Subject Writing Difficulty","1","r","TBS","2026-04-19T12:46:09+00:00","step4_llmassist","","constraint","Describes a user skill gap or cognitive hurdle that limits the interaction's success."
"Memory Allocation Vulnerabilities","1","r","TBS","2026-04-19T12:23:58+00:00","step4_llmassist","","outcome","Measures a negative effect or error outcome (security vulnerability) resulting from the interaction."
"Sentiment Differences","1","r","TBS","2026-04-19T12:40:33+00:00","step4_llmassist","","outcome","Measures variations in user satisfaction or emotional response as an effect of the interaction."
"Hybrid Assessment Approach","1","4","TBS","2026-04-19T12:19:09+00:00","step4_llmassist","","",""
"Overreliance On Ai Tools","1","4","TBS","2026-04-19T12:25:05+00:00","step4_llmassist","","",""
"Prompt Engineering For Security","1","2","TBS","2026-04-19T12:26:16+00:00","step4_llmassist","","",""
"Omission Of Requirements","1","r","TBS","2026-04-19T12:24:52+00:00","step4_llmassist","","outcome","Measures a negative effect on accuracy, specifically an error where necessary requirements are missed."
"Discovers Novel Issues","1","4","TBS","2026-04-19T12:12:50+00:00","step4_llmassist","","",""
"Chatbots As Learning Supplement","1","2","TBS","2026-04-19T12:00:19+00:00","step4_llmassist","","",""
"Reduced Cognitive Effort","1","r","TBS","2026-04-19T12:27:03+00:00","step4_llmassist","","outcome","Measures a positive effect of the interaction in terms of lowered cognitive load for the user."
"Poor Confidence Calibration","1","4","TBS","2026-04-19T12:25:21+00:00","step4_llmassist","","",""
"File Upload For Context","1","r","TBS","2026-04-19T12:16:23+00:00","step4_llmassist","","affordance","Describes an enabling surface or integration feature that shapes how context is provided to the system."
"Visual Test Generation","1","3","TBS","2026-04-19T12:47:34+00:00","step4_llmassist","","",""
"State Restoration Capability","1","r","TBS","2026-04-19T12:44:50+00:00","step4_llmassist","","affordance","Describes an enabling system feature or tooling capability that supports and shapes the interaction."
"Debugging Plan Generation","1","5","TBS","2026-04-19T12:11:52+00:00","step4_llmassist","","",""
"Parallel Chain Structures","1","r","TBS","2026-04-19T12:25:08+00:00","step4_llmassist","","affordance","Describes an underlying architectural or tooling structure that enables specific workflows."
"Step-Wise Script Execution","1","3","TBS","2026-04-19T12:45:38+00:00","step4_llmassist","overrode LLM 5 -> 3","",""
"Task Outsourcing","1","5","TBS","2026-04-19T12:46:28+00:00","step4_llmassist","","",""
"Varied Productivity Outcomes","5","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","outcome","Explicitly measures the effect of the interaction on user productivity and velocity."
"Need For Manual Verification","1","4","TBS","2026-04-19T12:24:31+00:00","step4_llmassist","","",""
"Agent Apology","1","2","TBS","2026-04-19T11:48:06+00:00","step4_llmassist","","",""
"Anthropomorphic Partnership Framing","1","r","TBS","2026-04-19T11:56:07+00:00","step4_llmassist","","meta","Describes a research framing or conceptual lens used to understand the interaction phenomenon."
"Emotional Skill Development","1","r","TBS","2026-04-19T12:14:14+00:00","step4_llmassist","","outcome","Measures a learning gain or developmental effect resulting directly from the interaction."
"Native Channel Integration","1","r","TBS","2026-04-19T12:24:23+00:00","step4_llmassist","","affordance","Describes an enabling integration or surface that shapes where and how interactions occur."
"Equity Improvement","1","r","TBS","2026-04-19T12:14:33+00:00","step4_llmassist","","outcome","""Improvement"" directly measures a positive effect or societal outcome resulting from the interaction."
"Large File Poor Quality","1","r","TBS","2026-04-19T12:22:41+00:00","step4_llmassist","","constraint","""Poor quality"" indicates a limitation or failure state when the system handles large files."
"Prompt Fragility And Sensitivity","1","r","TBS","2026-04-19T12:26:21+00:00","step4_llmassist","","constraint","""Fragility"" and ""sensitivity"" describe limitations and brittleness that restrict how users can interact."
"Alternative Solution Exposure","1","r","TBS","2026-04-19T11:56:03+00:00","step4_llmassist","","outcome","""Exposure"" measures a learning gain or positive cognitive effect resulting from the interaction."
"Api/Infrastructure Fragility","1","r","TBS","2026-04-19T11:58:38+00:00","step4_llmassist","","constraint","""Fragility"" describes a structural limitation or instability constraining the system's reliability."
"Noise Propagation In Training","1","r","TBS","2026-04-19T12:24:43+00:00","step4_llmassist","","constraint","""Noise propagation"" is a systemic error or limitation that degrades overall model performance."
"Perceived Humanness","1","r","TBS","2026-04-19T12:25:15+00:00","step4_llmassist","","outcome","""Perceived"" reflects a user sentiment or psychological effect resulting from the AI's behavior."
"High Modification Rate","1","r","TBS","2026-04-19T12:18:28+00:00","step4_llmassist","","outcome","""Modification rate"" is a measurable effect indicating the accuracy or utility of the generated output."
"Iterative Prompting Refinement","16","2","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Cognitive Pace Mismatch","1","r","TBS","2026-04-19T12:04:17+00:00","step4_llmassist","","constraint","""Mismatch"" describes a cognitive friction or limitation constraining the user's workflow and processing."
"Speed Of Ai Response","1","r","TBS","2026-04-19T12:44:43+00:00","step4_llmassist","","outcome","""Speed"" is a measurable performance effect or velocity metric of the system."
"Experience Reporting","1","r","TBS","2026-04-19T12:16:02+00:00","step4_llmassist","","meta","""Reporting"" indicates a research methodology or framing for collecting user feedback."
"Repeated Execution Without Edits","1","r","TBS","2026-04-19T12:27:32+00:00","step4_llmassist","","outcome","This measures a behavioral effect or efficiency outcome regarding how outputs are utilized."
"Learning Process Telemetry","1","r","TBS","2026-04-19T12:22:43+00:00","step4_llmassist","","meta","""Telemetry"" refers to a research methodology or instrumentation used to study the phenomenon."
"Exacerbates Incorrect Beliefs","1","2","TBS","2026-04-19T12:15:49+00:00","step4_llmassist","overrode LLM r -> 2","",""
"Granularity Trade-Offs","1","r","TBS","2026-04-19T12:17:46+00:00","step4_llmassist","","constraint","""Trade-offs"" imply structural limitations or compromises that constrain the interaction design."
"Contextual Logic Errors","1","r","TBS","2026-04-19T12:06:36+00:00","step4_llmassist","","constraint","""Errors"" explicitly describe a failure state or limitation of the system's capabilities."
"Plan Validation And Confirmation","1","4","TBS","2026-04-19T12:25:20+00:00","step4_llmassist","","",""
"Low Analysis Usage","1","r","TBS","2026-04-19T12:23:42+00:00","step4_llmassist","","meta","""Low usage"" is an adoption finding or inhibitor rather than a direct interaction metric."
"Prompting Via Test Examples","1","2","TBS","2026-04-19T12:26:31+00:00","step4_llmassist","","",""
"Human-Comparable Performance","1","r","TBS","2026-04-19T12:19:00+00:00","step4_llmassist","","outcome","""Performance"" is a direct measurement of the system's accuracy and effectiveness."
"Ast Structural Loss","1","r","TBS","2026-04-19T11:58:43+00:00","step4_llmassist","","constraint","""Loss"" indicates a technical limitation or degradation of data integrity during processing."
"Interactive Experimentation","1","2","TBS","2026-04-19T12:21:50+00:00","step4_llmassist","","",""
"Knowledge Probing Via Inference","1","2","TBS","2026-04-19T12:22:35+00:00","step4_llmassist","","",""
"Baseline Performance Challenge","1","r","TBS","2026-04-19T11:59:23+00:00","step4_llmassist","","constraint","""Challenge"" describes a limitation or difficulty in achieving desired performance levels."
"Personality-Adapted Ai Responses","1","r","TBS","2026-04-19T12:25:18+00:00","step4_llmassist","","affordance","""Adapted responses"" describe an enabling feature or tooling depth that shapes the interaction."
"Opaque Automated Resolution","1","5","TBS","2026-04-19T12:24:55+00:00","step4_llmassist","","",""
"Dashboard Widget Generation","1","5","TBS","2026-04-19T12:11:48+00:00","step4_llmassist","","",""
"No Confidence Shift","1","r","TBS","2026-04-19T12:24:41+00:00","step4_llmassist","","outcome","Measures the effect, or lack thereof, on user confidence resulting from the interaction."
"Survey Length Constraint","1","r","TBS","2026-04-19T12:46:15+00:00","step4_llmassist","","constraint","Explicitly describes a limitation imposed on the research methodology."
"Forces Algorithmic Planning","1","r","TBS","2026-04-19T12:17:01+00:00","step4_llmassist","","constraint","Describes a limiting condition that restricts how a user must cognitively approach a task."
"Intent Verification Difficulty","1","r","TBS","2026-04-19T12:21:42+00:00","step4_llmassist","","constraint","Describes a difficulty or limitation that hinders the user's ability to verify intent."
"Active Engagement Builds Trust","1","r","TBS","2026-04-19T11:35:39+00:00","step4_llmassist","","meta","Represents a research finding about adoption drivers and trust-building."
"Profile Update Via Cot","1","2","TBS","2026-04-19T12:25:53+00:00","step4_llmassist","","",""
"Test Data Scarcity","1","r","TBS","2026-04-19T12:46:32+00:00","step4_llmassist","","constraint","Describes a limiting condition regarding the availability of necessary data."
"Enhanced Performance Outcomes","2","r","TBS","2026-04-19T11:19:56+00:00","step4_llmassist","","outcome","Explicitly measures a positive effect on quality, speed, and overall performance."
"Support Redundancy","1","r","TBS","2026-04-19T12:46:14+00:00","step4_llmassist","","constraint","Describes a limiting condition where duplicated or unnecessary support reduces efficiency."
"Reduced Interaction Overhead","1","r","TBS","2026-04-19T12:27:12+00:00","step4_llmassist","","outcome","Measures an efficiency outcome by noting a reduction in user effort or overhead."
"Conceptual Examples Over Production","1","r","TBS","2026-04-19T12:05:56+00:00","step4_llmassist","","meta","A research observation about usage preferences rather than a direct measure or limit."
"Code Intention Required","1","r","TBS","2026-04-19T12:00:32+00:00","step4_llmassist","","constraint","Describes a prerequisite or limiting condition required for the interaction to succeed."
"Pr Interface Integration","1","r","TBS","2026-04-19T12:25:27+00:00","step4_llmassist","","affordance","Describes an enabling surface and integration depth for the tooling."
"High Expert Rating","1","r","TBS","2026-04-19T12:18:20+00:00","step4_llmassist","","outcome","Measures the quality or success of an interaction via expert evaluation."
"Student Annotation Task","1","r","TBS","2026-04-19T12:46:05+00:00","step4_llmassist","","meta","Describes the research methodology and framing of the study task."
"Organizational Policy Constraint","1","r","TBS","2026-04-19T12:24:58+00:00","step4_llmassist","","constraint","Explicitly names a policy that limits or constrains the interaction."
"Resource Consumption Risks","1","r","TBS","2026-04-19T12:39:29+00:00","step4_llmassist","","constraint","Describes a limiting condition or risk related to system resource usage."
"Configuration Context Prompting","1","2","TBS","2026-04-19T12:06:09+00:00","step4_llmassist","","",""
"Bias Mitigation Importance","1","r","TBS","2026-04-19T11:59:30+00:00","step4_llmassist","","meta","A meta-observation about the importance of addressing bias in the system."
"Problem Resolution","1","r","TBS","2026-04-19T12:25:51+00:00","step4_llmassist","","outcome","Measures the successful effect or resolution resulting from the interaction."
"Llm Output Self-Plagiarism","1","r","TBS","2026-04-19T12:22:53+00:00","step4_llmassist","","meta","A research finding or observation about the nature of the generated output."
"Human Judgment Override","1","4","TBS","2026-04-19T12:18:47+00:00","step4_llmassist","","",""
"Manual Output Refinement","2","r","TBS","2026-04-19T11:27:22+00:00","step4_llmassist","","affordance","Describes an enabling workflow or tooling depth that allows users to customize outputs."
"Augmented Understanding","1","r","TBS","2026-04-19T11:58:49+00:00","step4_llmassist","","outcome","Measures a positive cognitive effect or learning gain resulting from the interaction."
"Output Modification","1","r","TBS","2026-04-19T12:25:00+00:00","step4_llmassist","","affordance","Describes a tooling capability or enabling surface that allows users to alter generated outputs."
"Japanese Language Superiority","1","r","TBS","2026-04-19T12:22:25+00:00","step4_llmassist","","outcome","Measures a specific performance effect or accuracy advantage in a particular language."
"Rationale Variance","1","r","TBS","2026-04-19T12:26:58+00:00","step4_llmassist","","outcome","Measures the effect or degree of variation in the reasoning provided by a model."
"Lower Code Survival","1","r","TBS","2026-04-19T12:23:51+00:00","step4_llmassist","","outcome","Measures a negative effect on productivity or code quality, specifically the retention rate of generated code."
"Effective Initial Parallelization","1","r","TBS","2026-04-19T12:13:57+00:00","step4_llmassist","","outcome","Measures a positive effect on workflow velocity and productivity through parallel task execution."
"Impact Of Cot","1","r","TBS","2026-04-19T12:20:18+00:00","step4_llmassist","","outcome","Measures the downstream effect or performance change resulting from Chain of Thought prompting."
"Automated Process Analysis","1","5","TBS","2026-04-19T11:59:04+00:00","step4_llmassist","","",""
"Perceived Chatbot Advantages","1","r","TBS","2026-04-19T12:25:13+00:00","step4_llmassist","","outcome","Measures user sentiment and the perceived positive effects or benefits of the interaction."
"Ci/Cd Code Review","1","4","TBS","2026-04-19T12:00:23+00:00","step4_llmassist","","",""
"Enhances Computational Thinking","1","r","TBS","2026-04-19T12:14:27+00:00","step4_llmassist","","outcome","Measures a positive learning gain and cognitive effect resulting from tool usage."
"Mixed-Model Synergy","1","r","TBS","2026-04-19T12:24:05+00:00","step4_llmassist","","outcome","Measures the positive effect or performance boost achieved by combining different models."
"Community Sensemaking","1","r","TBS","2026-04-19T12:04:44+00:00","step4_llmassist","","meta","Describes a broader sociological phenomenon and adoption framing rather than a direct interaction measurement."
