"canonical_label","pass1_codes","in_vivo_codes","passage_ids","cluster_size","confirmed_by","confirmed_at","notes"
"Substantial Processing Lag","[""High latency"", ""Latency issues"", ""high execution latency""]","[""delay in responses"", ""awkward delays"", ""almost two magnitudes slower than the conventional algorithm""]","[""doi:10.1002/spe.3432:P002"", ""doi:10.1145/3745900.3746089:P003"", ""doi:10.1002/stvr.1893:P004""]","3","TBS","2026-04-18T13:38:04+00:00",""
"Accelerated Task Execution","[""Multi-task efficiency gains"", ""Task efficiency improvement""]","[""reduced time spent on debugging"", ""reduction in average task completion time""]","[""doi:10.1007/s10664-025-10730-1:P004"", ""doi:10.14778/3750601.3750610:P005""]","2","TBS","2026-04-19T03:04:29+00:00",""
"Proficient Code Synthesis","[""Code Generation Benefit"", ""Code Generation Capability"", ""Code generation capabilities"", ""Code generation capability"", ""Code generation dominance""]","[""useful code generation"", ""program code generation"", ""assisting with tasks such as code generation"", ""capable of providing solutions"", ""work with code is the most popular propose""]","[""doi:10.1142/s0218194023410048:P002"", ""doi:10.1109/educon62633.2025.11016313:P001"", ""doi:10.1109/icsa-c63560.2024.00059:P001"", ""doi:10.1016/j.jss.2023.111734:P001"", ""doi:10.5815/ijitcs.2023.06.03:P003""]","5","TBS","2026-04-18T12:59:34+00:00",""
"Machine Generated Software Critique","[""Automated code review"", ""automated code review comments""]","[""submitting functional code for the LLM to review"", ""automatically posting comments""]","[""doi:10.1145/3716640.3716657:P002"", ""doi:10.1145/3664646.3665664:P003""]","2","TBS","2026-04-19T03:04:32+00:00",""
"Heightened Output Velocity","[""Increased task throughput"", ""Task acceleration""]","[""significantly higher number of assessments"", ""dramatically accelerate the completion of tasks""]","[""doi:10.1145/3726302.3729960:P001"", ""doi:10.1109/isec64801.2025.11147402:P001""]","2","TBS","2026-04-19T03:04:33+00:00",""
"Defect Identification Effectiveness","[""Assisted defect localization"", ""Weak defect detection""]","[""locating and fixing problems"", ""low validity""]","[""doi:10.1109/cste64638.2025.11092128:P002"", ""doi:10.1145/3691620.3695529:P002""]","2","TBS","2026-04-19T03:04:35+00:00",""
"Unpredictable Complex Outputs","[""Unpredictable complex outputs""]","[""output is hard to control""]","[""doi:10.1145/3613905.3650844:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Task Abandonment Threshold","[""Task abandonment threshold""]","[""perceived effort exceeded its benefits""]","[""doi:10.1145/3801972:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Tool Integration Challenge","[""Tool Integration Challenge""]","[""difficulty of integration""]","[""doi:10.1142/s0218194023410048:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Verification Cognitive Burden","[""Verification cognitive overload"", ""Verification overhead""]","[""constant context switching puts significant mental demand"", ""verified rigorously""]","[""doi:10.1145/3491101.3519665:P002"", ""doi:10.1007/s10664-024-10594-x:P003""]","2","TBS","2026-04-19T03:04:36+00:00",""
"AI Mediated Code Refactoring","[""AI-assisted complex refactoring"", ""Refactoring smelly AI code""]","[""leverage LLM for assistance"", ""marked for refactoring""]","[""doi:10.1145/3793252:P003"", ""doi:10.1145/3793252:P002""]","2","TBS","2026-04-19T03:04:38+00:00",""
"Missing Status Feedback","[""missing status feedback""]","[""did not inform users""]","[""doi:10.1145/3663547.3759729:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Coordinated Agent Frameworks","[""Multi-agent architecture"", ""Multi-agent orchestration""]","[""multi-agent workflow"", ""chain of agents that collaborate""]","[""doi:10.14778/3750601.3750610:P002"", ""doi:10.1145/3696630.3728611:P002""]","2","TBS","2026-04-19T03:04:39+00:00",""
"Substantial Manual Code Revision","[""Direct manual modification"", ""Extensive manual modification""]","[""changing the generated code itself"", ""heavily Modified before being included""]","[""doi:10.1145/3597503.3608128:P004"", ""doi:10.1145/3643991.3645074:P004""]","2","TBS","2026-04-19T03:04:40+00:00",""
"High-Quality Language Generation","[""high-quality language generation""]","[""generate high-quality responses""]","[""doi:10.1109/tai.2023.3318183:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automation Trust and Security","[""Automation bias"", ""Distrust from automation"", ""Security risks and automation bias""]","[""focus on the code locations indicated by the LLM"", ""doubts and insecurity"", ""hidden vulnerabilities""]","[""doi:10.1109/icse55347.2025.00060:P001"", ""doi:10.1145/3746059.3747778:P004"", ""doi:10.32604/cmc.2025.068137:P003""]","3","TBS","2026-04-18T13:38:20+00:00",""
"Automated Defect Lifecycle Management","[""Augmented bug discovery"", ""Automated Bug Fixing"", ""Automated bug triage"", ""Autonomous bug detection"", ""Early bug detection"", ""End-to-end bug tracking automation"", ""Improved bug detection""]","[""find new model bugs"", ""repair process for rectification"", ""refine these reports, attempt to reproduce them"", ""detected without any hint"", ""finding code defects more easy"", ""reproduction, classification, validation, resolution, and verification"", ""find more potential issues""]","[""doi:10.18653/v1/2023.findings-emnlp.901:P004"", ""doi:10.1145/3663529.3663801:P005"", ""doi:10.1145/3806655:P001"", ""doi:10.1109/cascon66301.2025.00025:P002"", ""doi:10.1109/icse-seip66354.2025.00043:P005"", ""doi:10.1145/3806655:P002"", ""doi:10.1109/icse48619.2023.00119:P003""]","7","TBS","2026-04-18T12:55:52+00:00",""
"Accelerated Independent Execution","[""Autonomous task completion"", ""Faster task completion""]","[""autonomously achieve specific goals"", ""reduced the time used""]","[""doi:10.1109/icst62969.2025.10989038:P001"", ""doi:10.1145/3661167.3661172:P001""]","2","TBS","2026-04-19T03:04:40+00:00",""
"Hallucination and Miscalibration Detection","[""Hallucination errors"", ""Hallucinations and errors"", ""Miscalibrated hallucination perception"", ""Hallucination concerns"", ""hallucination risks"", ""high hallucination rate"", ""AI hallucinations"", ""LLM Hallucinations"", ""API hallucination challenge"", ""Code hallucination""]","[""hallucination issue"", ""hallucinated suggestions"", ""perceived fewer hallucinations... system may actually be more prone"", ""strong concerns about LLM hallucinations"", ""inaccuracies in these environments"", ""LLM suggestions are hallucinations"", ""hallucinated answers"", ""artificial hallucination"", ""often hallucinate"", ""erroneously hallucinate functions"", ""hallucinated outputs""]","[""doi:10.1145/3691620.3695529:P004"", ""doi:10.1109/fie63693.2025.11328650:P002"", ""doi:10.1145/3772318.3790622:P002"", ""doi:10.1145/3772363.3798543:P003"", ""doi:10.1145/3712005:P001"", ""doi:10.1145/3663529.3663803:P001"", ""doi:10.1145/3597503.3639201:P003"", ""doi:10.1145/3643991.3644918:P004"", ""doi:10.14569/ijacsa.2024.0150168:P007"", ""doi:10.1109/tse.2026.3651566:P001"", ""doi:10.5152/electrica.2026.25033:P003""]","10","TBS","2026-04-18T13:39:49+00:00","renamed by rater"
"Eroding Security Vigilance","[""Security complacency"", ""Security degradation""]","[""overreliance on AI for security decisions"", ""increase in critical vulnerabilities""]","[""doi:10.1145/3643690.3648236:P004"", ""doi:10.1109/istas65609.2025.11269659:P002""]","2","TBS","2026-04-19T03:04:41+00:00",""
"Structural Framework Ideation","[""Architectural design suggestions"", ""Architecture brainstorming""]","[""suggesting architectural design"", ""discuss high-level implementation strategies""]","[""doi:10.1109/icsa-c63560.2024.00059:P001"", ""doi:10.1145/3716640.3716657:P003""]","2","TBS","2026-04-19T03:04:42+00:00",""
"Reduced Idea Generation","[""reduced idea generation""]","[""proposed significantly fewer ideas""]","[""doi:10.1109/botse67031.2025.00013:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Positive User Sentiment","[""High user satisfaction"", ""Higher User Satisfaction"", ""Improved user satisfaction"", ""User satisfaction""]","[""affirming the value and effectiveness"", ""outperforming Node.js"", ""outperforms the baselines in terms of OCP and US"", ""30.7% of responses to the answers provided by ChatGPT are negative""]","[""doi:10.1145/3696630.3728552:P004"", ""doi:10.14569/ijacsa.2025.0161190:P002"", ""doi:10.1145/3715014.3722064:P002"", ""doi:10.1145/3661167.3661183:P002""]","4","TBS","2026-04-18T13:01:59+00:00",""
"Streamlining Test Suite Execution","[""Test suite optimization"", ""Test suite prioritization""]","[""avoiding unnecessary test bloat"", ""generated tests are assessed and ranked""]","[""doi:10.1109/iaict65714.2025.11101520:P003"", ""doi:10.25103/jestr.186.21:P002""]","2","TBS","2026-04-19T03:04:42+00:00",""
"Automated Pre-Submission Evaluation","[""AI as peer reviewer"", ""AI as pre-reviewer""]","[""get some feedback"", ""ChatGPT for a pre-review check""]","[""doi:10.1145/3779296:P002"", ""doi:10.1109/chase66643.2025.00016:P004""]","2","TBS","2026-04-19T03:04:43+00:00",""
"Automated Design Logic","[""Design reasoning generation"", ""Impractical design generation""]","[""generate helpful reasoning about embedded design tasks"", ""Design oversimplification and impractical recommendations""]","[""doi:10.1145/3613905.3650764:P001"", ""doi:10.5220/0012631600003687:P003""]","2","TBS","2026-04-19T03:04:44+00:00",""
"Wordy And Robotic Output","[""AI response verbosity"", ""Verbosity and AI tone issues""]","[""generates more verbose and longer responses"", ""complained about their verbosity and the “AI tone”""]","[""doi:10.1109/rew57809.2023.00048:P002"", ""doi:10.1109/esem64174.2025.00061:P001""]","2","TBS","2026-04-19T03:04:44+00:00",""
"Specialist Manual Review","[""Expert manual evaluation"", ""Manual assessment""]","[""human evaluation involved three experts"", ""independently assessing a set of 63 cases""]","[""doi:10.1109/ro-man63969.2025.11217707:P002"", ""doi:10.13052/jwe1540-9589.2263:P002""]","2","TBS","2026-04-19T03:04:46+00:00",""
"Insufficient Progress Details","[""insufficient progress details""]","[""limited to audio cues""]","[""doi:10.1145/3663547.3759729:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Security Flaw Recognition Efficacy","[""Bias in vulnerability recognition"", ""Improved vulnerability identification"", ""Low vulnerability detection rate""]","[""consistent detection pattern"", ""provide accurate explanations for the vulnerabilities"", ""struggle to accurately detect and warn users""]","[""doi:10.1007/s10664-025-10658-6:P004"", ""doi:10.1109/tse.2024.3492204:P004"", ""doi:10.1007/s10664-025-10658-6:P001""]","3","TBS","2026-04-18T13:40:29+00:00",""
"Goal Recognition Complexity","[""Goal inference difficulty"", ""Goal modeling comprehension""]","[""difficult to infer the goal"", ""understanding of concepts""]","[""doi:10.1145/3626252.3630909:P002"", ""doi:10.1109/rew57809.2023.00052:P001""]","2","TBS","2026-04-19T03:04:47+00:00",""
"Impact On Accuracy Outcomes","[""Enhanced accuracy"", ""Improved accuracy"", ""No accuracy benefit"", ""improved accuracy""]","[""significant improvement in prediction performance"", ""judged patch correctness more accurately"", ""does not significantly improve"", ""accuracy improved with guidance""]","[""doi:10.18293/seke2024-123:P003"", ""doi:10.1007/s10664-024-10594-x:P004"", ""doi:10.1145/3661167.3661172:P002"", ""doi:10.1609/aaai.v39i27.35063:P001""]","4","TBS","2026-04-18T13:02:38+00:00",""
"Differential Cognitive Performance Outcomes","[""Disparate Productivity Benefits"", ""Experience-dependent productivity gains"", ""Productivity and cognitive benefits"", ""Productivity and focus benefits""]","[""benefits of WCA were not evenly distributed"", ""38% productivity increase"", ""increasing efficiency and productivity"", ""increase productivity and improve focus""]","[""doi:10.1145/3706599.3706670:P003"", ""doi:10.51983/ijiss-2025.ijiss.15.2.46:P002"", ""doi:10.18421/tem134-10:P006"", ""doi:10.1145/3707640.3731915:P001""]","4","TBS","2026-04-18T13:02:51+00:00",""
"Favorable User Reception","[""Positive User Feedback"", ""Positive user perception""]","[""positive feedback on the LLM-generated summaries"", ""high mean of perceived helpfulness""]","[""doi:10.1109/icpc66645.2025.00040:P001"", ""doi:10.1145/3696630.3728611:P004""]","2","TBS","2026-04-19T03:04:48+00:00",""
"Navigating Initial Skill Acquisition","[""Learning curve adaptation"", ""Learning curve challenge"", ""Overcoming learning curve""]","[""became more comfortable"", ""steeper learning curves"", ""getting started on the project""]","[""doi:10.24251/hicss.2025.719:P003"", ""doi:10.1145/3491102.3517582:P004"", ""doi:10.1145/3643795.3648379:P001""]","3","TBS","2026-04-18T13:40:41+00:00",""
"Code Adoption Discrepancy","[""High adoption rate"", ""Low production adoption rate""]","[""generate an estimated 20-30% of code"", ""32.8% of generated code is not used""]","[""doi:10.1109/cai64502.2025.00266:P001"", ""doi:10.1145/3643991.3645074:P003""]","2","TBS","2026-04-19T03:04:48+00:00",""
"Automated Test Oracle Synthesis","[""Automated oracle generation"", ""Automated test oracles"", ""Test oracle generation performance""]","[""automatically generate assertion-based test oracles"", ""LLMs as test oracles"", ""generated oracles""]","[""doi:10.1109/ase63991.2025.00182:P001"", ""doi:10.1109/apsec65559.2024.00017:P001"", ""doi:10.1109/ase63991.2025.00031:P001""]","3","TBS","2026-04-18T13:41:05+00:00",""
"Diverse Software Polishing Methods","[""Automated Code Refinement"", ""Manual code refinement"", ""conversational code refinement""]","[""code refinement"", ""needed extra human intervention"", ""iterative refinement of code""]","[""doi:10.1109/saner64311.2025.00070:P001"", ""doi:10.1145/3643795.3648379:P003"", ""doi:10.1109/llm4code66737.2025.00019:P002""]","3","TBS","2026-04-18T13:42:37+00:00",""
"Automated Contextual Prompt Augmentation","[""Automated prompt context generation"", ""Exception-driven prompt context"", ""Prompt context effectiveness"", ""Prompt context enhancement""]","[""agent prepares a prompt"", ""details about an exception they encountered"", ""incorporating more information into the prompt generates more satisfactory code"", ""instruments the prompts""]","[""doi:10.24251/hicss.2025.522:P001"", ""doi:10.1145/3643991.3645074:P005"", ""doi:10.13052/jwe1540-9589.2263:P003"", ""doi:10.1002/spe.3432:P001""]","4","TBS","2026-04-18T13:05:38+00:00",""
"Recursive Accuracy Refinement","[""Iterative error correction"", ""Iterative self-correction""]","[""sustained dialogue to correct errors"", ""mechanism to check the relevance""]","[""doi:10.1007/s10664-026-10813-7:P003"", ""doi:10.5815/ijmecs.2025.05.07:P004""]","2","TBS","2026-04-19T03:04:49+00:00",""
"Conversation Sentiment Dynamics","[""conversation sentiment dynamics""]","[""sentiment fluctuations""]","[""doi:10.1109/llm4code66737.2025.00019:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Linguistic Intent Articulation","[""Natural language specification"", ""Natural language specification challenge""]","[""interpreting users' natural language descriptions"", ""communicate effectively with the model in natural language""]","[""doi:10.1109/sp54263.2024.00046:P001"", ""doi:10.1007/s10664-026-10813-7:P004""]","2","TBS","2026-04-19T03:04:49+00:00",""
"Restricted Contextual Capacity","[""Context window limitations"", ""Context window limits"", ""Limited context window""]","[""lacks global program analysis"", ""catastrophic forgetting or the misunderstanding of the code intention"", ""comprehension of the entire codebase is restricted""]","[""doi:10.1145/3793252:P004"", ""doi:10.1007/s10515-025-00492-x:P004"", ""doi:10.1145/3643991.3645081:P002""]","3","TBS","2026-04-18T13:42:47+00:00",""
"Visual Parsing Complexity","[""Visual parsing complexity""]","[""interpreting a wide range of visual patterns""]","[""doi:10.1145/3643787.3648032:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Regulating Cognitive Processing Demands","[""Cognitive Load Reduction"", ""Cognitive load reduction"", ""Contextual cognitive load"", ""Higher cognitive load"", ""Increased Cognitive Load"", ""Managing cognitive load"", ""Reduced cognitive load""]","[""reducing cognitive load"", ""reduce cognitive load"", ""sensitive to interruptions"", ""more time and mental effort to analyze"", ""increase the cognitive load"", ""turn speech off for a bit so I can think"", ""less cognitive overhead"", ""focus on programming logic""]","[""doi:10.1007/s40692-025-00375-w:P001"", ""doi:10.1145/3726302.3729960:P002"", ""doi:10.1109/asew67777.2025.00049:P003"", ""doi:10.1109/chase66643.2025.00016:P001"", ""doi:10.1109/icimtech67074.2025.11264926:P002"", ""doi:10.1145/3706598.3714008:P003"", ""doi:10.1109/tvcg.2025.3535332:P003"", ""doi:10.7763/ijcte.2025.v17.1378:P002""]","7","TBS","2026-04-18T12:56:07+00:00",""
"Expanded Verification Scope","[""Enhanced test coverage"", ""Improved test coverage""]","[""generate more broad functional and non-functional scenarios"", ""similar functional behavior and better coverage""]","[""doi:10.25103/jestr.186.21:P004"", ""doi:10.1109/iaict65714.2025.11101520:P001""]","2","TBS","2026-04-19T03:04:50+00:00",""
"Uncovering Unanticipated Boundary Scenarios","[""Novel edge-case identification"", ""identifies edge cases""]","[""wouldn't have thought of"", ""revealing previously overlooked cases""]","[""doi:10.1109/ase63991.2025.00275:P003"", ""doi:10.1109/ast66626.2025.00007:P001""]","2","TBS","2026-04-19T03:04:51+00:00",""
"Diminished AI Code Reliability","[""Discarding erroneous AI code"", ""Reduced code correctness with AI""]","[""rewrite the whole code by themselves without any attempt to repair"", ""without AI-Tools had a higher score""]","[""doi:10.1145/3491101.3519665:P004"", ""doi:10.1109/iccp60212.2023.10398656:P004""]","2","TBS","2026-04-19T03:04:51+00:00",""
"Low Explicit Feedback Rate","[""low explicit feedback rate""]","[""rarely give explicit feedback""]","[""doi:10.1145/3664646.3665664:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Artifact Engineering","[""Artifact Generation Claim"", ""Automated artifact evaluation"", ""Automated artifact generation""]","[""generating versatile textual specifications"", ""controlled experiment with 400 code samples"", ""automate and accelerate the generation""]","[""doi:10.1145/3593434.3593468:P001"", ""doi:10.1109/istas65609.2025.11269659:P001"", ""doi:10.1109/temsconglobal64363.2025.11238312:P001""]","3","TBS","2026-04-18T13:49:14+00:00",""
"Facilitators Of Conceptual Clarity","[""Comprehension factors"", ""User Comprehension""]","[""concise scenarios and straightforward naming conventions improve comprehension"", ""high level of user satisfaction""]","[""doi:10.1109/ase63991.2025.00250:P003"", ""doi:10.1109/icodse68111.2025.11351919:P003""]","2","TBS","2026-04-19T03:04:52+00:00",""
"Curbing AI over-reliance","[""AI over-reliance"", ""Mitigating AI over-reliance"", ""Over-reliance on AI""]","[""moments of over-reliance"", ""fostering active engagement rather than passive reliance"", ""high level of trust in AI-generated code""]","[""doi:10.1145/3746059.3747778:P005"", ""doi:10.1145/3769994.3769997:P004"", ""doi:10.1145/3706598.3713989:P002""]","3","TBS","2026-04-18T13:51:46+00:00","renamed by rater"
"Industrial Deployment Evaluation","[""industrial deployment evaluation""]","[""evaluated its performance and adoption in a large industrial setting""]","[""doi:10.1145/3664646.3665664:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automating Repetitive Workflows","[""Automating repetitive tasks"", ""Automating routine tasks"", ""Routine task automation""]","[""generate unit tests"", ""most common uses of generative AI"", ""low-complexity and low-accountability tasks""]","[""doi:10.1145/3696630.3730566:P002"", ""doi:10.18421/tem134-10:P001"", ""doi:10.1145/3772363.3799079:P001""]","3","TBS","2026-04-18T13:54:04+00:00","renamed by rater"
"Automated Reflection Prompting","[""automated reflection prompting""]","[""prompts deeper reflection""]","[""doi:10.1145/3770762.3772662:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Minimizing Context Switching Costs","[""Context switching friction"", ""Reduced context switching"", ""context switching burden""]","[""use another application beside my IDE"", ""no longer have to open a browser"", ""cognitive overload""]","[""doi:10.1109/icse55347.2025.00138:P003"", ""doi:10.1145/3756681.3757081:P005"", ""doi:10.1145/3663547.3759729:P002""]","3","TBS","2026-04-18T13:55:15+00:00","renamed by rater"
"Architectural Openness Expectations","[""Transparency and expectations"", ""Transparency requirement""]","[""clarity on how the system is built"", ""desire for greater transparency""]","[""doi:10.1007/s00766-026-00457-w:P003"", ""doi:10.1145/3696630.3728559:P003""]","2","TBS","2026-04-19T03:04:53+00:00",""
"Automated Data Integrity Assurance","[""Automated data validation"", ""Automated validation benefit""]","[""removal of manual processing and duplication of data"", ""reducing the likelihood of errors""]","[""doi:10.24251/hicss.2025.896:P003"", ""doi:10.1145/3643787.3648032:P003""]","2","TBS","2026-04-19T03:04:54+00:00",""
"Dynamic Test Specification Probing","[""Interactive requirement elicitation"", ""Testing requirements elicitation""]","[""infinite questioner"", ""requirements elicitation for guiding model testing""]","[""doi:10.1145/3638247:P002"", ""doi:10.18653/v1/2023.findings-emnlp.901:P001""]","2","TBS","2026-04-19T03:04:55+00:00",""
"Equivalent Code Comprehensibility Perception","[""Comparable readability"", ""Equivalent human readability perception""]","[""equally readable as developer-written tests"", ""readability of developer-written tests similar to that of LLM-improved tests""]","[""doi:10.1109/icst62969.2025.10989020:P001"", ""doi:10.1109/icst62969.2025.10989020:P004""]","2","TBS","2026-04-19T03:04:56+00:00",""
"Linguistic Proficiency Disparities","[""Language-Dependent Performance"", ""Language-dependent effectiveness"", ""Language-dependent performance""]","[""results varied significantly depending on which programming language was used"", ""work better with some programming languages"", ""capability varies across natural languages""]","[""doi:10.28945/5362:P003"", ""doi:10.1145/3696630.3730566:P004"", ""doi:10.1145/3643991.3644917:P001""]","3","TBS","2026-04-18T13:56:12+00:00",""
"Automated Prompt Output Synthesis","[""Prompt variation generation"", ""Prompt-based comment generation""]","[""keyword perturbations"", ""code comment generation process""]","[""doi:10.1109/tvcg.2025.3535332:P002"", ""doi:10.1109/cste64638.2025.11092128:P001""]","2","TBS","2026-04-19T03:05:05+00:00",""
"Uncritical Trust and Miscomprehension","[""Overreliance and Misinterpretation"", ""Risk of overreliance""]","[""misinterpret the AI-CAs-generated output"", ""should not fully rely on these forums and tools""]","[""doi:10.1007/s40692-025-00375-w:P002"", ""doi:10.1109/rew57809.2023.00048:P004""]","2","TBS","2026-04-19T03:05:09+00:00",""
"Struggles With Complex Architecture","[""Struggles with complex architecture""]","[""unable to generate the code with the endpoints""]","[""doi:10.1145/3644815.3644949:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Iterative Dialogue Steering","[""Conversational prompting"", ""Prompting via comments""]","[""series of interactive conversations"", ""guide Copilot in generating relevant suggestions""]","[""doi:10.1186/s40537-024-01019-z:P002"", ""doi:10.24251/hicss.2025.883:P004""]","2","TBS","2026-04-19T03:05:10+00:00",""
"Escalated Review Effort","[""Increased PR closure time"", ""Increased PR complexity""]","[""closure duration increased"", ""larger, time-consuming pull requests""]","[""doi:10.1109/icse-seip66354.2025.00043:P002"", ""doi:10.1145/3643991.3645084:P001""]","2","TBS","2026-04-19T03:05:13+00:00",""
"Evaluating Realistic Change Integrity","[""Transformation naturalness assessment"", ""Vulnerability to natural transformations""]","[""deemed natural"", ""lack of robustness""]","[""doi:10.1145/3716167:P002"", ""doi:10.1145/3716167:P003""]","2","TBS","2026-04-19T03:05:13+00:00",""
"Effective Targeted Structural Restructuring","[""Localized refactoring success"", ""Refactoring Success""]","[""solid job at localized tasks"", ""code refactorings""]","[""doi:10.1109/fie63693.2025.11328650:P003"", ""doi:10.1109/saner64311.2025.00070:P005""]","2","TBS","2026-04-19T03:05:15+00:00",""
"Synthetic Data Creation","[""Mock Data Generation"", ""Test data generation""]","[""insert statements"", ""generate some test data""]","[""doi:10.14569/ijacsa.2024.0150168:P003"", ""doi:10.1145/3779296:P005""]","2","TBS","2026-04-19T03:05:17+00:00",""
"Naturalness Improves Code Understanding","[""naturalness improves code understanding""]","[""considerably more natural test cases that developers find easy to understand""]","[""doi:10.1109/icse-seip66354.2025.00042:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Team Formation Simulation","[""Team Formation Simulation""]","[""recruit a six-person software development team""]","[""doi:10.1109/icsme58944.2024.00063:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Unchecked Generated Code","[""Unchecked generated code""]","[""treated it like a black box""]","[""doi:10.1145/3779296:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Immediate Test Usability","[""immediate test usability""]","[""usable as generated""]","[""doi:10.1109/ast66626.2025.00007:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Pr Communication","[""reduced PR communication""]","[""PR discussion density (PRD_t) declines""]","[""doi:10.59543/gk2qp136:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Hazards Of Excessive Dependency","[""Over-reliance Challenges"", ""Over-reliance risk""]","[""Relying too heavily"", ""just does the work for you""]","[""doi:10.1145/3770762.3772668:P003"", ""doi:10.1109/compsac61105.2024.00252:P004""]","2","TBS","2026-04-19T03:05:18+00:00",""
"Flawed Contextual Grounding","[""Inaccurate contextual examples"", ""poor contextual relevance""]","[""limitation on generating accurate examples"", ""failed to adequately explain the relevance""]","[""doi:10.1145/3708518:P004"", ""doi:10.1145/3664646.3665664:P006""]","2","TBS","2026-04-19T03:05:18+00:00",""
"Collective Multi-Agent Orchestration","[""Collaborative agent design"", ""Multi-agent collaboration""]","[""collaboratively design and tend to their bots"", ""work together through cooperative, hierarchical or mixed strategies""]","[""doi:10.1145/3772318.3790500:P004"", ""doi:10.1002/sd.70544:P002""]","2","TBS","2026-04-19T03:05:19+00:00",""
"Inequitable Role Distribution","[""Role Assignment Bias"", ""Role allocation""]","[""assign certain developer roles"", ""define clear roles""]","[""doi:10.1109/icsme58944.2024.00063:P003"", ""doi:10.1145/3643690.3648236:P002""]","2","TBS","2026-04-19T03:05:20+00:00",""
"Review Centric Workflow","[""Code review usage"", ""Shift to code review""]","[""review-intensive pull requests"", ""spend more time reviewing code than actually writing code""]","[""doi:10.1145/3643991.3645084:P002"", ""doi:10.1145/3582083:P001""]","2","TBS","2026-04-19T03:05:20+00:00",""
"Limited Prompt Engineering Efficacy","[""No quality impact of prompts"", ""Prompt overfitting""]","[""prompt structure may not substantially impact these quality metrics"", ""focus narrowly on editing LLM prompts""]","[""doi:10.1145/3756681.3756938:P001"", ""doi:10.1145/3772318.3790500:P002""]","2","TBS","2026-04-19T03:05:21+00:00",""
"Knowledge Formalization Dynamics","[""knowledge externalization workflows"", ""reduced knowledge externalization""]","[""distill AI-assisted solutions into persistent knowledge entries"", ""Documentation commit ratio (DER_t) declines""]","[""doi:10.59543/gk2qp136:P005"", ""doi:10.59543/gk2qp136:P004""]","2","TBS","2026-04-19T03:05:22+00:00",""
"Single-Use Generated Code","[""single-use generated code""]","[""used only once""]","[""doi:10.1109/llm4code66737.2025.00019:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Zero Temperature Setting","[""Zero Temperature Setting""]","[""fixing the temperature to 0""]","[""doi:10.1109/saner64311.2025.00070:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Contextual File Inclusion","[""contextual file inclusion""]","[""appending their own dependency configuration file""]","[""doi:10.1145/3643991.3645075:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Unnoticed Harmful Behavior","[""Unnoticed harmful behavior""]","[""unable to detect the presence""]","[""doi:10.1145/3772318.3791365:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Comparative Evaluation Strategies","[""LLM-Assisted Evaluation"", ""Manual vs LLM evaluation""]","[""validated with OpenAI evals"", ""produced manually and using ChatGPT and Github Copilot""]","[""doi:10.1145/3644815.3644945:P005"", ""doi:10.1186/s40537-024-01019-z:P001""]","2","TBS","2026-04-19T03:05:23+00:00",""
"Enhanced Programming Velocity","[""Speeding up coding tasks"", ""coding speed improvement""]","[""accelerate online searching, typing, and syntax recall"", ""slight improvement in coding speed""]","[""doi:10.1145/3639477.3643648:P002"", ""doi:10.1145/3664646.3665664:P005""]","2","TBS","2026-04-19T03:05:26+00:00",""
"Focus On Non-Functional Code","[""Focus on non-functional code""]","[""non-functional improvements""]","[""doi:10.1145/3798166:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Session Persistence Issues","[""Session persistence issues""]","[""loss of conversation history""]","[""doi:10.1145/3644815.3644949:P006""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Assessing LLM Efficacy","[""LLM performance evaluation"", ""LLM system design evaluation""]","[""evaluate the performance of the two version of ChatGPT and Bard"", ""LLM-assisted architectural design""]","[""doi:10.13052/jwe1540-9589.2263:P001"", ""doi:10.1109/icsa-c63560.2024.00059:P003""]","2","TBS","2026-04-19T03:05:32+00:00",""
