"paper_id","passage_id","in_vivo_code","descriptive_code","coder_notes"
"doi:10.1109/iaict65714.2025.11101520","P001","similar functional behavior and better coverage","Improved test coverage",""
"doi:10.1109/iaict65714.2025.11101520","P002","learning curve for engineers","Prompt engineering difficulty",""
"doi:10.1109/iaict65714.2025.11101520","P003","avoiding unnecessary test bloat","Test suite optimization",""
"doi:10.1109/iaict65714.2025.11101520","P004","excel in unit test generation within IDEs","IDE integration benefits",""
"doi:10.14778/3750601.3750610","P001","iterative investigation through successive queries","Iterative query refinement",""
"doi:10.14778/3750601.3750610","P002","multi-agent workflow","Multi-agent architecture",""
"doi:10.14778/3750601.3750610","P003","decompose tasks into subtasks","Agentic task decomposition",""
"doi:10.14778/3750601.3750610","P004","divided 40 business analysts into two groups","Controlled field experiment","A/B testing in an industrial context"
"doi:10.14778/3750601.3750610","P005","reduction in average task completion time","Task efficiency improvement",""
"doi:10.1109/ase63991.2025.00275","P001","significant potential for time savings","Efficiency gains",""
"doi:10.1109/ase63991.2025.00275","P002","terminological issues","LLM generation errors",""
"doi:10.1109/ase63991.2025.00275","P003","wouldn't have thought of","Novel edge-case identification",""
"doi:10.1109/vl-hcc65237.2025.00034","P001","writing the prompt","Prompting time distribution",""
"doi:10.1109/vl-hcc65237.2025.00034","P002","failed to include at least one verbally stated requirement","Omission of requirements","Identifies the cognitive load and translation gap when writing prompts"
"doi:10.1109/vl-hcc65237.2025.00034","P003","ignoring existing code","Context ignorance",""
"doi:10.1109/vl-hcc65237.2025.00034","P004","imposed additional effort instead of reducing it","Effort overhead","Highlights negative ROI for user effort vs generated value"
"doi:10.1109/ase63991.2025.00009","P001","generating concise yet actionable alert summaries","Automated alert summarisation","Use of RAG to ground alert summaries in organisational context"
"doi:10.1109/ase63991.2025.00009","P002","multi-agent workflow to refine alert rules","Multi-agent rule refinement",""
"doi:10.1109/ase63991.2025.00009","P003","two SREs scoring summaries","Expert qualitative assessment","SRE involvement in evaluating the Actionability and Relevance of generated responses"
"doi:10.1109/ase63991.2025.00009","P004","near 100 adopted by SREs","High user adoption","Highlights real-world utility as experts accepted the autonomous agent's recommendations"
"doi:10.1117/12.3049666","P001","write straightforward quantum circuits","Quantum circuit generation",""
"doi:10.1117/12.3049666","P002","four combinations","Cross-framework evaluation setup","Tested against discrete (IBM) and continuous (Xanadu) hardware/simulators."
"doi:10.1117/12.3049666","P003","ChatGPT does very well","High accuracy on standard framework",""
"doi:10.1117/12.3049666","P004","struggles to write a program","Low accuracy on alternative framework","Challenges mapping conceptual algorithms to Strawberry Fields."
"doi:10.1109/asew67777.2025.00049","P001","Mistimed suggestions","Interruption costs","Highlights the dual problem of poor UX and wasted computational resources."
"doi:10.1109/asew67777.2025.00049","P002","reducing blind rejections","Acceptance rate improvement","Quantifies the benefit of timing optimization in practice."
"doi:10.1109/asew67777.2025.00049","P003","sensitive to interruptions","Contextual cognitive load","Contrasts the willingness to accept suggestions during writing vs. debugging."
"doi:10.1109/asew67777.2025.00049","P004","reshape developer behavior","Adaptive timing controller","Summarizes the overall impact of the dynamic delay mechanism."
"doi:10.1109/asew67777.2025.00011","P001","high-level, purpose-driven explanations of code","Contextual code summarization",""
"doi:10.1109/asew67777.2025.00011","P002","helpful and non trivial, and are free from hallucinations","High-quality insights",""
"doi:10.1109/asew67777.2025.00011","P003","valuable insight beyond what was available from the code alone","Augmented understanding",""
"doi:10.1109/asew67777.2025.00011","P004","overemphasized details from pull request descriptions","Context distraction",""
"doi:10.1109/vl-hcc65237.2025.00045","P001","context-related feedback alongside expert strategies","Context-aware debugging feedback",""
"doi:10.1109/fie63693.2025.11328650","P001","interacted with LLMs occasionally","Occasional AI usage",""
"doi:10.1109/fie63693.2025.11328650","P002","hallucinated suggestions","Hallucinations and errors",""
"doi:10.1109/fie63693.2025.11328650","P003","solid job at localized tasks","Localized refactoring success",""
"doi:10.1109/fie63693.2025.11328650","P004","left it up to their own judgment","Human judgment override","Highlights the human-in-the-loop nature of the student interactions."
"doi:10.1109/icst62969.2025.10989020","P001","equally readable as developer-written tests","Comparable readability",""
"doi:10.1109/icst62969.2025.10989020","P002","fatigue would affect the readability assessment","Survey length constraint",""
"doi:10.1109/icst62969.2025.10989020","P003","semantic-breaking change","Hallucinated identifiers","Models modifying critical class/method names contrary to instructions"
"doi:10.1109/icst62969.2025.10989020","P004","readability of developer-written tests similar to that of LLM-improved tests","Equivalent human readability perception",""
"doi:10.1109/ase63991.2025.00250","P001","user study with 15 participants","User study demographics",""
"doi:10.1109/ase63991.2025.00250","P002","preferred the semantic clarity","Improved semantic clarity",""
"doi:10.1109/ase63991.2025.00250","P003","concise scenarios and straightforward naming conventions improve comprehension","Comprehension factors",""
"doi:10.1109/ase63991.2025.00250","P004","overly detailed documentation, which can complicate tests","Over-documentation challenge",""
"doi:10.1109/ase63991.2025.00312","P001","higher proportion of comments related to bugs and maintainability","LLM comment distribution",""
"doi:10.1109/ase63991.2025.00312","P002","higher resolution rates","High resolution by category",""
"doi:10.1109/ase63991.2025.00312","P003","lack of clarity, relevancy, and simplicity","Barriers to developer resolution",""
"doi:10.1109/saner64311.2025.00070","P001","code refinement","Automated Code Refinement",""
"doi:10.1109/saner64311.2025.00070","P002","fixing the temperature to 0","Zero Temperature Setting","Lowest temperature provides most stable refinement results"
"doi:10.1109/saner64311.2025.00070","P003","exact solution","Exact Match Generation",""
"doi:10.1109/saner64311.2025.00070","P004","require external context","Context Limitations","Models struggle when review comments refer to outside variables or files"
"doi:10.1109/saner64311.2025.00070","P005","code refactorings","Refactoring Success",""
"doi:10.1109/icse-seip66354.2025.00043","P001","accepted and implemented","High comment resolution","Bot suggestions are highly accepted."
"doi:10.1109/icse-seip66354.2025.00043","P002","closure duration increased","Increased PR closure time","Automated reviews lengthened the merge process."
"doi:10.1109/icse-seip66354.2025.00043","P003","code quality improvement","Improved code quality","Bot aids in enforcing standards and quality."
"doi:10.1109/icse-seip66354.2025.00043","P004","out-of-scope or irrelevant suggestions","Irrelevant suggestions","AI distractions."
"doi:10.1109/icse-seip66354.2025.00043","P005","finding code defects more easy","Early bug detection","Helps developers spot defects faster."
"doi:10.1109/icst62969.2025.10988984","P001","improve readability, actionability, and interpretability","Enhanced report usability",""
"doi:10.1109/icarc64760.2025.10963005","P001","lagged behind human-designed UIs","Suboptimal UI aesthetics",""
"doi:10.1109/icarc64760.2025.10963005","P002","human intervention remains essential","Need for human oversight","Particularly for environment setup and security"
"doi:10.1109/ase63991.2025.00223","P001","path analysis of the focal method","Path-based prompt construction",""
"doi:10.1109/ase63991.2025.00223","P002","fixing compilation errors","Iterative error repair",""
"doi:10.1109/ase63991.2025.00223","P003","expressed caution towards LLM-generated code","Developer reception to AI code","Highlights OSS maintainer attitudes toward PRs containing AI-generated test cases."
"doi:10.1109/cascon66301.2025.00068","P001","affirmation phrases such as 'certainly'","Agent Affirmation",""
"doi:10.1109/cascon66301.2025.00068","P002","employs phrases like ‘My apologies’","Agent Apology","Highlights how the model interacts when recognizing failure points."
"doi:10.1109/cascon66301.2025.00068","P003","prompt GPT 11 times","Multi-turn Iteration","Shows effort required by users to correct model errors."
"doi:10.1109/cascon66301.2025.00068","P004","reproduce in one shot","Prompt Efficiency",""
"doi:10.1016/j.jss.2024.112204","P001","Operation Issue and Compatibility Issue","Common usage problems",""
"doi:10.1016/j.jss.2024.112204","P002","usage of Copilot’s code generation-related functionalities is unsatisfactory","Poor functionality experience",""
"doi:10.1016/j.jss.2024.112204","P003","adjust settings or configuration files","Configuration adjustment",""
"doi:10.1016/j.jss.2024.112204","P004","more customization options to tailor Copilot’s behavior","Need for customization",""
"doi:10.1109/icse55347.2025.00060","P001","focus on the code locations indicated by the LLM","Automation bias","Reviewers anchor on AI-provided suggestions, leading to tunnel vision."
"doi:10.1109/icse55347.2025.00060","P002","higher number of low-severity issues","Increased trivial bug finding",""
"doi:10.1109/icse55347.2025.00060","P003","do not save time with respect to a fully manual process","No time savings","Due to the cognitive load of verifying LLM output."
"doi:10.1109/icse55347.2025.00060","P004","does not impact their confidence","No confidence shift",""
"doi:10.1109/isec64801.2025.11147402","P001","dramatically accelerate the completion of tasks","Task acceleration","Identifies speed/efficiency as a primary benefit"
"doi:10.1109/isec64801.2025.11147402","P002","rapidly pass error messages to the AI","AI error correction","Highlights debugging/repair assistance via context passing"
"doi:10.1109/isec64801.2025.11147402","P003","constructing a complex app from scratch","App generation",""
"doi:10.1109/icodse68111.2025.11351772","P001","reverse-engineer requirements","Requirement reverse engineering",""
"doi:10.1109/icodse68111.2025.11351772","P002","drafted into automated pull requests","Automated PR creation",""
"doi:10.1109/icodse68111.2025.11351772","P003","reduced authoring time by about 75%","Time reduction benefit",""
"doi:10.1109/access.2025.3581139","P001","code review system","Automated Feedback Generation",""
"doi:10.1109/access.2025.3581139","P002","combining test case validation with LLM-based assessment","Hybrid Assessment Approach",""
"doi:10.1109/access.2025.3581139","P003","detected up to 42.86% more errors","Error Detection Improvement",""
"doi:10.1109/tai.2023.3318183","P001","generate high-quality responses","high-quality language generation",""
"doi:10.1109/tai.2023.3318183","P002","automating the process of generating test cases","automated test generation",""
"doi:10.1109/tai.2023.3318183","P003","not always align with industry or domain-specific conventions","domain convention misalignment",""
"doi:10.1109/tai.2023.3318183","P004","importance of addressing bias","bias mitigation importance",""
"doi:10.48009/1_iis_134","P001","seldom treat AI as a research partner","Lack of preliminary searching","Highlights a deficiency in the forethought/planning phase where analogical examples are ignored."
"doi:10.48009/1_iis_134","P002","copy AI output wholesale","Overreliance and copy-pasting","Points to low-effort integration practices."
"doi:10.48009/1_iis_134","P003","trust AI output at least occasionally without systematic validation","Over-trust and absent verification","Reveals high failure rates in testing and debugging AI outputs."
"doi:10.48009/1_iis_134","P004","persist until the AI responds satisfactorily","Task complexity drives iteration","Shows that harder tasks force better iterative prompting and active code synthesis."
"doi:10.1109/icodse68111.2025.11351822","P001","generate a PHP based CRUD","PHP Code Generation",""
"doi:10.1109/icse-seip66354.2025.00042","P001","not suitable for addition to a regression test suite","low acceptance of ATG tests",""
"doi:10.1109/icse-seip66354.2025.00042","P002","considerably more natural test cases that developers find easy to understand","naturalness improves code understanding",""
"doi:10.1109/icse-seip66354.2025.00042","P003","more natural compared to EvoSuite and developer-written test cases","superior test naming",""
"doi:10.1109/icse-seip66354.2025.00042","P004","preference for incorporating ASTER-generated tests","high developer acceptance",""
"doi:10.1109/icse-seip66354.2025.00042","P005","have more cases (avg. 25%) without assertions","missing assertions challenge",""
"doi:10.1109/ast66626.2025.00007","P001","revealing previously overlooked cases","identifies edge cases",""
"doi:10.1109/ast66626.2025.00007","P002","usable as generated","immediate test usability",""
"doi:10.1109/ast66626.2025.00007","P003","cannot be blindly trusted","need for developer review",""
"doi:10.1109/ast66626.2025.00007","P004","think about an error scenario","improves requirement coverage",""
"doi:10.1109/cste64638.2025.11092128","P001","code comment generation process","Prompt-based comment generation",""
"doi:10.1109/cste64638.2025.11092128","P002","locating and fixing problems","Assisted defect localization",""
"doi:10.1109/chase66643.2025.00016","P001","more time and mental effort to analyze","Higher cognitive load","LLM reviews are perceived as less straightforward and demanding more effort to process."
"doi:10.1109/chase66643.2025.00016","P002","ChatGPT would never be picky","Consistent polite tone","The emotional toll is lessened because the AI is consistently polite."
"doi:10.1109/chase66643.2025.00016","P003","doesn't really know what to do clearly","Lack of deep context","Trust issues arise when the AI lacks specific codebase context."
"doi:10.1109/chase66643.2025.00016","P004","ChatGPT for a pre-review check","AI as pre-reviewer","Developers envision a pipeline where AI provides a pre-review before human evaluation."
"doi:10.1049/icp.2025.3640","P001","modular architecture","System Architecture",""
"doi:10.1049/icp.2025.3640","P002","describing the entire reactive maintenance process","Natural Language Process Input",""
"doi:10.1049/icp.2025.3640","P003","identified inefficiencies and bottlenecks","Automated Process Analysis",""
"doi:10.1049/icp.2025.3640","P004","significant challenge observed during the evaluation was latency","Generation Latency",""
"doi:10.24251/hicss.2025.896","P001","construct workflows using a drag-and-drop interface","Visual workflow development",""
"doi:10.24251/hicss.2025.896","P002","foster participation in designing IT solutions","Non-IT staff participation",""
"doi:10.24251/hicss.2025.896","P003","removal of manual processing and duplication of data","Automated data validation",""
"doi:10.24251/hicss.2025.896","P004","facilitated the onboarding of new employees","Simplified employee onboarding",""
"doi:10.1109/ase63991.2025.00182","P001","automatically generate assertion-based test oracles","Automated oracle generation",""
"doi:10.1109/ase63991.2025.00182","P002","successfully identify the failure","Failure identification success",""
"doi:10.1109/llm4code66737.2025.00019","P001","longer and more complex","Copilot code complexity",""
"doi:10.1109/llm4code66737.2025.00019","P002","iterative refinement of code","conversational code refinement",""
"doi:10.1109/llm4code66737.2025.00019","P003","used only once","single-use generated code",""
"doi:10.1109/llm4code66737.2025.00019","P004","sentiment fluctuations","conversation sentiment dynamics",""
"doi:10.1109/tvcg.2025.3535332","P001","visual analytics system","Visual UI for prompts",""
"doi:10.1109/tvcg.2025.3535332","P002","keyword perturbations","Prompt variation generation",""
"doi:10.1109/tvcg.2025.3535332","P003","less cognitive overhead","Reduced cognitive load",""
"doi:10.1109/icst62969.2025.10989038","P001","autonomously achieve specific goals","Autonomous task completion","Highlights the multi-agent system's ability to act independently without human-in-the-loop."
"doi:10.1109/icst62969.2025.10989038","P002","using different LLMs as different agents","Mixed-model synergy","Shows performance benefits of heterogenous LLM constellations for generalizability."
"doi:10.1109/icst62969.2025.10989038","P003","diminishing returns","Complexity-induced degradation",""
"doi:10.1109/icst62969.2025.10989038","P004","disrupting agent coordination","API/Infrastructure fragility",""
"doi:10.1109/msr66628.2025.00043","P001","propagate low-quality reviews","Noise propagation in training","Highlights the risk of training sequence models on raw, noisy benchmark datasets."
"doi:10.1109/msr66628.2025.00043","P002","smaller data did not negatively impact","Data quality over quantity","Shows that a smaller but cleaner dataset yields better performance for review generation."
"doi:10.1109/msr66628.2025.00043","P003","incorrectly classify comments including domain-specific terms","Classification limitations","LLMs struggle with domain-specific vocabulary when attempting to filter noisy comments."
"doi:10.1109/msr66628.2025.00043","P004","comparable performance [...] while using far fewer resources","Resource efficiency","Clean data allows a smaller baseline model (CodeT5) to perform competitively against domain-specific models."
"doi:10.1109/vl-hcc65237.2025.00017","P001","narrow down modifications","Scope localization",""
"doi:10.1109/vl-hcc65237.2025.00017","P002","saved much time compared to looking into the documentation","Time-saving via summaries",""
"doi:10.1109/vl-hcc65237.2025.00017","P003","flexibility and ease of specification","Direct instruction benefits",""
"doi:10.1109/vl-hcc65237.2025.00017","P004","forced deeper comprehension","Comprehension enforcement",""
"doi:10.1109/vl-hcc65237.2025.00017","P005","skipped summaries and used direct instructions","Familiarity skips scaffolding",""
"doi:10.1109/vl-hcc65237.2025.00017","P006","overly fine-grained summaries risked fragmented edits","Granularity trade-offs",""
"doi:10.1109/vl-hcc65237.2025.00017","P007","disrupted developers’ expectations","Inconsistency breaks mental models",""
"doi:10.1109/ro-man63969.2025.11217707","P001","dynamic user profiling","User profiling mechanism","Initializing and adapting user profiles dynamically based on interaction."
"doi:10.1109/ro-man63969.2025.11217707","P002","human evaluation involved three experts","Expert manual evaluation","Small expert panel evaluating outputs, thereby categorizing the methodology as Validation Research instead of Evaluation Research."
"doi:10.1109/ro-man63969.2025.11217707","P003","dynamically updating user profiles","Profile update via CoT","CoT reasoning used to reassess and refine user profiles continually."
"doi:10.1109/csecs64665.2025.11009821","P001","supporting architects through various stages of architectural development","Architecture design support",""
"doi:10.1109/csecs64665.2025.11009821","P002","refined prompts can yield more accurate results","Prompt refinement",""
"doi:10.1109/ase63991.2025.00117","P001","concerning user behaviours","User behavior with false predictions",""
"doi:10.1007/s40692-025-00375-w","P001","reducing cognitive load","Cognitive Load Reduction",""
"doi:10.1007/s40692-025-00375-w","P002","misinterpret the AI-CAs-generated output","Overreliance and Misinterpretation",""
"doi:10.1007/s40692-025-00375-w","P003","valuable tools for their learning processes","Perceived Educational Value",""
"doi:10.1007/s40692-025-00375-w","P004","confidence in the tool increases","Active Engagement Builds Trust",""
"doi:10.1007/s40692-025-00375-w","P005","learning motivation","TAM Motivational Factors",""
"doi:10.25103/jestr.186.21","P001","generates candidate test cases","Automated test generation",""
"doi:10.25103/jestr.186.21","P002","generated tests are assessed and ranked","Test suite prioritization","Uses RL for optimization"
"doi:10.25103/jestr.186.21","P003","automatically fix locators, update assertions","Self-healing test scripts",""
"doi:10.25103/jestr.186.21","P004","generate more broad functional and non-functional scenarios","Enhanced test coverage",""
"doi:10.25103/jestr.186.21","P005","automatically fixed with no human intervention","Autonomous script repair",""
"doi:10.25103/jestr.186.21","P006","failed initially with mismatch of parameters","Syntax and parameter hallucinations",""
"doi:10.1109/icmi65310.2025.11141320","P001","seven distinct prompt patterns","Prompt engineering patterns",""
"doi:10.1109/icmi65310.2025.11141320","P002","minimal iterations","Reduced interaction overhead",""
"doi:10.15849/ijasca.250730.11","P001","processing entire codebases","Full codebase processing",""
"doi:10.15849/ijasca.250730.11","P002","57% accuracy for pattern detection","Pattern detection performance",""
"doi:10.15849/ijasca.250730.11","P003","limitations in recognizing traditional architectural strategies","Tactic detection limits",""
"doi:10.15849/ijasca.250730.11","P004","via OpenAI’s web interface (UI)","Web UI usage",""
"doi:10.1109/cascon66301.2025.00025","P001","asking a general question in the chat interface","Chat-based query",""
"doi:10.1109/cascon66301.2025.00025","P002","detected without any hint","Autonomous bug detection",""
"doi:10.1109/cascon66301.2025.00025","P003","accuracy in fixing","Effective bug repair",""
"doi:10.1109/cascon66301.2025.00025","P004","limited semantic modeling capabilities","Semantic reasoning limits",""
"doi:10.1109/dsd67783.2025.00025","P001","automated repair approach","Autonomous compilation repair",""
"doi:10.1109/dsd67783.2025.00025","P002","resolve up to 63 %","High fix resolution rate",""
"doi:10.1109/dsd67783.2025.00025","P003","reduce debugging time","Reduced debugging time",""
"doi:10.1109/iccbe65177.2025.11255927","P001","applied to four customized software development projects","Project-based evaluation",""
"doi:10.1109/iccbe65177.2025.11255927","P002","substantial improvements across all evaluation metrics","Metric improvements",""
"doi:10.1109/istas65609.2025.11269659","P001","controlled experiment with 400 code samples","Automated artifact evaluation","No human participants involved; artifact benchmarking study."
"doi:10.1109/istas65609.2025.11269659","P002","increase in critical vulnerabilities","Security degradation",""
"doi:10.1109/icpc66645.2025.00040","P001","positive feedback on the LLM-generated summaries","Positive User Feedback","Abstract mentions feedback from a small user study."
"doi:10.1109/icst62969.2025.10988960","P001","enhance productivity","Productivity improvement",""
"doi:10.1109/icst62969.2025.10988960","P002","wrote unit tests","LLM-assisted unit testing",""
"doi:10.1109/icst62969.2025.10988960","P003","increases the number of unit tests generated","Increased test generation",""
"doi:10.7763/ijcte.2025.v17.1378","P001","translate Sinhala programming queries into Java code","Cross-lingual code generation",""
"doi:10.7763/ijcte.2025.v17.1378","P002","focus on programming logic","Reduced cognitive load",""
"doi:10.7763/ijcte.2025.v17.1378","P003","Code structure visualization","Diagramming for comprehension",""
"doi:10.1109/cai64502.2025.00266","P001","generate an estimated 20-30% of code","High adoption rate",""
"doi:10.1109/cai64502.2025.00266","P002","imperative need for transparency","Code transparency challenge",""
"doi:10.1109/sta66620.2025.11364940","P001","automatically generate Gherkin scenarios","Automated test scenario generation",""
"doi:10.1109/icse55347.2025.00138","P001","identified unknown usability issues","Discovers novel issues",""
"doi:10.1109/icse55347.2025.00138","P002","valuable supplement","Complementary to traditional methods",""
"doi:10.1109/icse55347.2025.00138","P003","use another application beside my IDE","Context switching friction","Highlights the need for seamless IDE integration."
"doi:10.1109/icse55347.2025.00138","P004","embedding it as a plugin in the IDE","Desire for IDE integration",""
"doi:10.1109/icse55347.2025.00138","P005","saves a lot of time","Efficiency gains",""
"doi:10.1109/botse67031.2025.00013","P001","brainstorming tasks related to a software engineering project","bot-supported brainstorming",""
"doi:10.1109/botse67031.2025.00013","P002","proposed significantly fewer ideas","reduced idea generation","Identifies negative impact of bots on volume of ideas"
"doi:10.1109/botse67031.2025.00013","P002","less sense of authorship and sense of responsibility","reduced ownership feeling","Identifies psychological challenge of AI collaboration"
"doi:10.1002/sd.70544","P001","productivity and automation","Workplace Tool Usage","Mention of coding as part of a broader professional productivity suite."
"doi:10.1002/sd.70544","P002","work together through cooperative, hierarchical or mixed strategies","Multi-agent collaboration",""
"doi:10.1002/sd.70544","P003","sustainability paradox","Resource Consumption Risks","Highlighting a broader systemic challenge with AI deployment."
"doi:10.1109/ase63991.2025.00024","P001","redundant, incomplete, or buggy outputs","Suggestion quality issues",""
"doi:10.1109/ase63991.2025.00024","P002","productivity gains","Productivity improvement",""
"doi:10.1109/ase63991.2025.00024","P003","fail to retain or fetch relevant context","Context retention failure",""
"doi:10.1109/ase63991.2025.00024","P004","Focus doesn't work","UI interaction breakdown",""
"doi:10.1109/ase63991.2025.00024","P005","Uses too much resources","High resource footprint",""
"doi:10.24251/hicss.2025.719","P001","boosted developers' productivity","Increased productivity",""
"doi:10.24251/hicss.2025.719","P002","loss of productivity analyzing AI proposals","Review overhead","A minority of users experienced negative productivity due to evaluating AI outputs."
"doi:10.24251/hicss.2025.719","P003","became more comfortable","Learning curve adaptation","Effectiveness and satisfaction improved as users learned to interact with the tool."
"doi:10.1109/acdsa65407.2025.11165833","P001","significant efficiency in the document review process","Efficient but lower quality review","Abstract indicates GenAI improves efficiency but lacks the effectiveness and review quality of a human."
"doi:10.1109/trustcom66490.2025.00026","P001","user survey and perform a qualitative analysis","Qualitative User Evaluation","Professionals evaluated the tool via a survey."
"doi:10.1109/trustcom66490.2025.00026","P002","significantly fewer human interactions and interventions","Reduced Human Intervention","Highlights autonomy and reduced cognitive load compared to baseline tools."
"doi:10.1109/icoailo66760.2025.11156083","P001","improved completeness and standard alignment","Completeness and Standards Alignment",""
"doi:10.1109/icoailo66760.2025.11156083","P001","limitations were found in traceability","Traceability Limitations",""
"doi:10.1109/esem64174.2025.00061","P001","complained about their verbosity and the “AI tone”","Verbosity and AI tone issues","Participants found the improved original PR variants generated by LLMs to be too wordy and lacking human nuance."
"doi:10.1109/ase63991.2025.00251","P001","successfully repair a substantial portion of these brittle tests","LLM test repair","Annotated from abstract due to missing full text"
"doi:10.24251/hicss.2025.522","P001","agent prepares a prompt","Automated prompt context generation","The agent programmatically injects context and state into the prompt rather than relying on the user to craft it."
"doi:10.24251/hicss.2025.522","P002","perceived fairness scores showed an even more significant difference","Increased perceived fairness","Adding an LLM improved qualitative human perceptions of the transaction's fairness."
"doi:10.24251/hicss.2025.522","P003","thought they negotiated with the bot","Perceived humanness","LLMs can successfully mask rigid programmatic behavior by outputting naturalistic conversational responses."
"doi:10.1109/fie63693.2025.11328290","P001","generate defect repair recommendations","AI defect repair","Students using conversational AI to fix bugs in a Unity 3D scene"
"doi:10.1109/fie63693.2025.11328290","P002","helped them complete the debugging task more efficiently","Debugging efficiency","Perceived productivity benefit reported by students"
"doi:10.1109/saner64311.2025.00015","P001","primarily utilized for ideation","Ideation primary use case",""
"doi:10.1109/saner64311.2025.00015","P002","12.78% of issues","Low direct code adoption",""
"doi:10.1109/saner64311.2025.00015","P003","generating or enhancing test cases","Testing frameworks integration",""
"doi:10.1109/saner64311.2025.00015","P004","struggles with complex backend inter-dependencies","Context limitation challenges",""
"doi:10.1109/icodse68111.2025.11351919","P001","systematic prompt engineering process","Prompt Engineering","Usage of LLMs for generating textual explanations"
"doi:10.1109/icodse68111.2025.11351919","P002","mixed-methods approach","Mixed Methods Evaluation",""
"doi:10.1109/icodse68111.2025.11351919","P003","high level of user satisfaction","User Comprehension",""
"doi:10.1109/nlbse66842.2025.00015","P001","generate UML Use Case Diagrams","UML Diagram Generation",""
"doi:10.1109/ecce58356.2025.11260366","P001","integrating natural language processing with engineering workflows","NLP workflow integration",""
"doi:10.1109/msr66628.2025.00105","P001","aligning testing efforts with business requirements","Requirement-test alignment challenge",""
"doi:10.1109/msr66628.2025.00105","P002","confirmed the effectiveness of these generated test cases","Effective test case generation",""
"doi:10.1109/educon62633.2025.11016313","P001","program code generation","Code Generation Capability",""
"doi:10.1109/educon62633.2025.11016313","P002","complete a survey","Survey Evaluation",""
"doi:10.32604/cmc.2025.068137","P002","prompt engineering","Adapting via prompt engineering",""
"doi:10.32604/cmc.2025.068137","P003","hidden vulnerabilities","Security risks and automation bias","Highlights trade-offs of using generative tools"
"doi:10.32604/cmc.2025.068137","P004","contextually inappropriate suggestions","Contextual logic errors",""
"doi:10.1109/temsconglobal64363.2025.11238312","P001","automate and accelerate the generation","Automated artifact generation","Derived from abstract as full text is unavailable"
"doi:10.1109/icimtech67074.2025.11264926","P001","out-of-context code","Irrelevant Code Generation",""
"doi:10.1109/icimtech67074.2025.11264926","P002","increase the cognitive load","Increased Cognitive Load",""
"doi:10.1109/icimtech67074.2025.11264926","P003","low success rates","Usability Challenges",""
"doi:10.1134/s0361768824700774","P001","bridge the gap for students transitioning","Learning programming concepts",""
"doi:10.1134/s0361768824700774","P002","limitations exist in accurate problem interpretation","Problem interpretation errors",""
"doi:10.1134/s0361768824700774","P003","positive impressions of chatbots as study aids","Valuable study aid",""
"doi:10.1145/3658644.3690283","P001","very good starting point","Drafting code with AI","Developers use AI-generated code as an initial template requiring manual refinement."
"doi:10.1145/3658644.3690283","P002","gone over by a professional","Human review of AI code","Mistrust regarding security vulnerabilities necessitates strict manual review."
"doi:10.1145/3658644.3690283","P003","explains why","AI for code explanation","Conversational modality allows for clarifying underlying logic alongside generated code."
"doi:10.1145/3658644.3690283","P004","make the code more secure","AI for vulnerability remediation","AI is leveraged to patch known exploitable snippets."
"doi:10.1145/3658644.3690283","P005","mistakes in the majority of code snippets","High frequency of insecure code","AI often generates code omitting basic security practices unless explicitly prompted."
"doi:10.1186/s40537-024-01019-z","P001","produced manually and using ChatGPT and Github Copilot","Manual vs LLM evaluation",""
"doi:10.1186/s40537-024-01019-z","P002","series of interactive conversations","Conversational prompting",""
"doi:10.1186/s40537-024-01019-z","P003","confused when the large code context is given","Large context confusion","Providing full file context to ChatGPT caused degradation in output quality"
"doi:10.1186/s40537-024-01019-z","P004","effectively parallelized the application from the beginning","Effective initial parallelization",""
"doi:10.1186/s40537-024-01019-z","P005","problems with scoping of variables","Variable scoping errors","Specific challenge in OpenMP clause generation"
"doi:10.1145/3687272.3688296","P001","build agents, and deploy them","Agent configuration and deployment",""
"doi:10.1145/3687272.3688296","P002","usability highly","High usability and low workload",""
"doi:10.1145/3687272.3688296","P003","saving time and effort","Reduced development overhead",""
"doi:10.1145/3687272.3688296","P004","need for more guided instructions","Need for examples and tutorials",""
"doi:10.1002/stvr.1893","P001","improve web element localization even further by combining an LLM with a traditional algorithm","hybrid LLM-heuristic localization",""
"doi:10.1002/stvr.1893","P002","demonstrated improved performance, reducing failed localizations","increased localization success rate",""
"doi:10.1002/stvr.1893","P003","relate to the meaning of neighbor texts, understand the purpose of an element","semantic context awareness",""
"doi:10.1002/stvr.1893","P004","almost two magnitudes slower than the conventional algorithm","high execution latency",""
"doi:10.1145/3691620.3695257","P001","understanding the sentiment and intent in the conversation","Analyzing tool-triggered conversations",""
"doi:10.18421/tem134-10","P001","most common uses of generative AI","Automating routine tasks",""
"doi:10.18421/tem134-10","P002","Generating initial code","Generating code and docs",""
"doi:10.18421/tem134-10","P003","troubleshooting code issues","Real-time troubleshooting help",""
"doi:10.18421/tem134-10","P004","create tests","Testing and code optimization",""
"doi:10.18421/tem134-10","P005","responsibility for AI-generated code","Ethical and security challenges",""
"doi:10.18421/tem134-10","P006","increasing efficiency and productivity","Productivity and cognitive benefits",""
"doi:10.1145/3691620.3695529","P001","syntactically invalid unit tests","Invalid syntax",""
"doi:10.1145/3691620.3695529","P002","low validity","Weak defect detection",""
"doi:10.1145/3691620.3695529","P003","code comprehension","Impact of CoT",""
"doi:10.1145/3691620.3695529","P004","hallucination issue","Hallucination errors",""
