"paper_id","title","authors","year","venue","scis_rank","scis_venue_type","abstract","status","extraction_source","timestamp","model","input_tokens","output_tokens","cost_usd","notes"
"doi:10.1145/3663547.3759729","Accessibility Heuristics for Vibe Coding Interfaces","","2025","Assets 2025 Proceedings of the 27th International ACM Sigaccess Conference on Computers and Accessibility","Not found","Not found","AI coding tools are transforming programming, shifting it from a highly editorial process into a conversational activity.Popular Vibe coding tools such as Replit and Cursor integrate natural language interfaces with traditional development environments.While these tools promise simplicity, increased productivity, and automation, they also introduce new accessibility challenges for blind or visually impaired (BVI) developers.A systematic identification of these accessibility challenges necessitat","extracted","fulltext","2026-04-17T08:50:04.649943+00:00","gemini-3.1-pro-preview","8165","1216","0.0309",""
"doi:10.1145/3744335.3758482","Vibe Coding in Practice: Building a Driving Simulator Without Expert Programming Skills","","2025","Adjunct Conference Proceedings 17th International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications Automotiveui 2025","Not found","Not found","The emergence of large language models has introduced new opportunities in software development, particularly through a revolutionary paradigm known as vibe coding or ""coding by vibes'', in which developers express their software ideas in natural language and where the LLM generates the code. This paper investigates the potential of vibe coding to support novice programmers. The first author, without coding experience, attempted to create a 3D driving simulator using the Cursor platform and Thre","extracted","abstract_only","2026-04-17T08:50:14.909574+00:00","gemini-3.1-pro-preview","5817","340","0.0157",""
"doi:10.1145/3756681.3756938","Do Prompt Patterns Affect Code Quality? A First Empirical Assessment of ChatGPT-Generated Code","","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease 2025","Not found","Not found","Large Language Models (LLMs) have rapidly transformed software development, especially in code generation. However, their inconsistent performance, prone to hallucinations and quality issues, complicates program comprehension and hinders maintainability. Research indicates that prompt engineering—the practice of designing inputs to direct LLMs toward generating relevant outputs—may help address these challenges. In this regard, researchers have introduced prompt patterns, structured templates in","extracted","fulltext","2026-04-17T08:50:19.695387+00:00","gemini-3.1-pro-preview","11805","1011","0.0357",""
"doi:10.1145/3744257.3744266","When LLM-Generated Code Perpetuates User Interface Accessibility Barriers, How Can We Break the Cycle?","","2025","Proceedings of the 22nd International Web for All Conference","Not found","Not found","The integration of Large Language Models (LLMs) into web development workflows has the potential to revolutionize user interface design, yet their ability to produce accessible interfaces still remains underexplored. In this paper, we present an evaluation of LLM-generated user interfaces against the accessibility criteria from the Web Content Accessibility Guidelines (WCAG 2.1), comparing the output of ChatGPT and Claude with two distinct prompt types—accessibility-agnostic and accessibility-or","extracted","abstract_only","2026-04-17T08:50:21.067578+00:00","gemini-3.1-pro-preview","5836","451","0.0171",""
"doi:10.3390/data10100156","Automated Test Generation Using Large Language Models","","2025","Data","Not found","Not found","This study explores the potential of generative AI, specifically Large Language Models (LLMs), in automating unit test generation in Python 3.13. We analyze tests, both those created by programmers and those generated by LLM models, for fifty source code cases. Our main focus is on how the choice of model, the difficulty of the source code, and the prompting strategy influence the quality of the generated tests. The results show that AI models can help automate test creation for simple code, but","extracted","abstract_only","2026-04-17T08:50:21.457210+00:00","gemini-3.1-pro-preview","5807","339","0.0157",""
"doi:10.1145/3716848","Security Weaknesses of Copilot-Generated Code in GitHub Projects: An Empirical Study","","2025","ACM Trans. Softw. Eng. Methodol.","A*","Journal","Modern code generation tools utilizing AI models like Large Language Models have gained increased popularity due to their ability to produce functional code. However, their usage presents security challenges, often resulting in insecure code merging into the code base. Thus, evaluating the quality of generated code, especially its security, is crucial. While prior research explored various aspects of code generation, the focus on security has been limited, mostly examining code produced in contr","extracted","abstract_only","2026-04-17T08:50:32.328107+00:00","gemini-3.1-pro-preview","5933","428","0.017",""
"doi:10.3390/app151910403","CodeDive: A Web-Based IDE with Real-Time Code Activity Monitoring for Programming Education","","2025","Applied Sciences Switzerland","Not found","Not found","This paper introduces CodeDive, a web-based programming environment with real-time behavioral tracking designed to enhance student progress assessment and provide timely support for learners, while also addressing the academic integrity challenges posed by Large Language Models (LLMs). Visibility into the student’s learning process has become essential for effective pedagogical analysis and personalized feedback, especially in the era where LLMs can generate complete solutions, making it difficu","extracted","abstract_only","2026-04-17T08:50:33.592811+00:00","gemini-3.1-pro-preview","5951","310","0.0156",""
"doi:10.1145/3750069.3750103","Towards Human-Centered RAG: A Study of AI-Supported Testing Practices in Italian Public Administration","","2025","Chitaly 2025 Proceedings of the 16th Biannual Conference of the Italian Sigchi Chapter","Not found","Not found","This study examines the integration of a Retrieval-Augmented Generation (RAG)–based AI testing assistant within an Italian public administration, focusing on its practical benefits and challenges. Qualitative feedback from 15 software testers reveals that while the assistant improves testing efficiency and supports knowledge retrieval, challenges regarding accuracy, consistency, and transparency reduce user trust and effectiveness. Participants highlighted the need for enhanced data curation, im","extracted","abstract_only","2026-04-17T08:50:41.554709+00:00","gemini-3.1-pro-preview","5792","340","0.0157",""
"doi:10.1145/3721127","Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of LLMs","","2025","ACM Transactions on Software Engineering and Methodology","A*","Journal","Accountability is an innate part of social systems. It maintains stability and ensures positive pressure on individuals’ decision-making. As actors in a social system, software developers are accountable to their team and organization for their decisions. However, the drivers of accountability and how it changes behavior in software development are less understood. In this study, we look at how the social aspects of code review affect software engineers’ sense of accountability for code quality.","extracted","fulltext","2026-04-17T08:50:51.302042+00:00","gemini-3.1-pro-preview","28957","1132","0.0715",""
"doi:10.5815/ijmecs.2025.05.07","Local Agentic RAG-Based Information System Development for Intelligent Analysis of GitHub Code Repositories in Computer Science Education","","2025","International Journal of Modern Education and Computer Science","Not found","Not found","This study presents the development and evaluation of a local agent-based Retrieval-Augmented Generation (Agentic RAG) system designed for the intelligent analysis of GitHub repositories in computer science education and IT practice.The novelty of this work lies not in inventing a new RAG algorithm, but in orchestrating multiple existing components (LangChain, Redis, SentenceTransformer, and LLMs) into a multi-stage agent pipeline with integrated relevance evaluation, specifically adapted to off","extracted","fulltext","2026-04-17T08:50:51.645322+00:00","gemini-3.1-pro-preview","25247","1140","0.0642",""
"doi:10.29207/resti.v9i5.6950","Student-Generated User Story Quality: A Study on Practitioner and ChatGPT Evaluation","","2025","Jurnal Resti","Not found","Not found","Evaluating the quality of student-generated user stories is important in software engineering education, but only a limited number of industry practitioners can assist. The integration of generative AI can facilitate this process. To do so, the INVEST quality evaluation framework is widely recognized for assessing user story quality; however, prior research has not explored its use in conjunction with generative AI. This study investigated ChatGPT's ability to evaluate user stories using the INV","extracted","abstract_only","2026-04-17T08:50:54.852702+00:00","gemini-3.1-pro-preview","5889","360","0.0161",""
"doi:10.1145/3746059.3747625","Steering Semantic Data Processing With DocWrangler","","2025","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","Not found","Not found","Unstructured text has long been difficult to automatically analyze at scale. Large language models (LLMs) now offer a way forward by enabling semantic data processing, where familiar data processing operators (e.g., map, reduce, filter) are powered by LLMs instead of code. However, building effective semantic data processing pipelines presents a departure from traditional data pipelines: users need to understand their data to write effective pipelines, yet they need to construct pipelines to ext","extracted","abstract_only","2026-04-17T08:50:55.592733+00:00","gemini-3.1-pro-preview","5939","338","0.0159",""
"doi:10.1145/3746059.3747689","ViseGPT: Towards Better Alignment of LLM-generated Data Wrangling Scripts and User Prompts","","2025","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","Not found","Not found","Large language models (LLMs) enable the rapid generation of data-wrangling scripts based on natural language instructions, but these scripts may not fully adhere to user-specified requirements, necessitating careful inspection and iterative refinement. Existing approaches primarily assist users in understanding script logic and spotting potential issues themselves, rather than providing direct validation of correctness. To enhance debugging efficiency and optimize the user experience, we develop","extracted","fulltext","2026-04-17T08:50:55.698044+00:00","gemini-3.1-pro-preview","13365","1396","0.0435",""
"doi:10.1145/3743703","From Overwhelmed to Overview: Understanding Smartphone Users' Preferences and Expectations in Relieving Notification Overload via Text Summarization","","2025","Proc. ACM Hum.-Comput. Interact.","Not found","Not found","To help users manage the overwhelming influx of smartphone notifications, this study explores how large language models (LLMs) can be leveraged to generate notification summaries. We developed an Android application that integrates ChatGPT to summarize notifications and conducted an in-the-wild deployment to examine how users guided the model. To further understand user expectations for LLM-generated summaries, we interviewed 20 participants following a week-long engagement with the app. Our fin","extracted","abstract_only","2026-04-17T08:50:58.977783+00:00","gemini-3.1-pro-preview","5804","308","0.0153",""
"doi:10.3390/computers14110501","AutoQALLMs: Automating Web Application Testing Using Large Language Models (LLMs) and Selenium","","2025","Computers","Not found","Not found","Modern web applications change frequently in response to user and market needs, making their testing challenging. Manual testing and automation methods often struggle to keep up with these changes. We propose an automated testing framework, AutoQALLMs, that utilises various LLMs (Large Language Models), including GPT-4, Claude, and Grok, alongside Selenium WebDriver, BeautifulSoup, and regular expressions. This framework enables one-click testing, where users provide a URL as input and receive t","extracted","abstract_only","2026-04-17T08:50:57.745990+00:00","gemini-3.1-pro-preview","5989","374","0.0165",""
"doi:10.3390/higheredu4030031","Exploring the Impact of LLM Prompting on Students’ Learning","","2025","Trends in Higher Education","Not found","Not found","Integrating large language models (LLMs) into higher education, particularly in programming education, reshapes how students interact with learning materials and develop coding skills. However, while the general utility of LLMs like ChatGPT, Gemini, and Claude has been acknowledged, a critical gap exists in understanding how specific prompting strategies influence student learning outcomes. This issue is significant in the context of programming education, where problem-solving, critical thinkin","extracted","abstract_only","2026-04-17T08:51:01.284959+00:00","gemini-3.1-pro-preview","5823","300","0.0152",""
"doi:10.1016/j.ijhcs.2025.103555","“This is human intelligence debugging artificial intelligence”: Examining how people prompt GPT in seeking mental health support","","2025","International Journal of Human Computer Studies","A","Journal","Large language models (LLMs) could extend AI support for mental well-being with their unprecedented language understanding and generation ability. While we have seen individuals who lack access to professional care utilizing LLMs for mental health support, it is unclear how they prompt and interact with LLMs given their individualized emotional needs and life situations. In this work, we analyzed 49 threads and 7,538 comments on Reddit, aiming to understand how people seek mental health support ","extracted","abstract_only","2026-04-17T08:51:06.289460+00:00","gemini-3.1-pro-preview","5935","326","0.0158",""
"doi:10.1145/3749513","Vinci: A Real-time Smart Assistant Based on Egocentric Vision-language Model for Portable Devices","","2025","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","Not found","Not found","We present Vinci, a vision-language system designed to provide real-time, comprehensive AI assistance on portable devices. At its core, Vinci leverages EgoVideo-VL, a novel model that integrates an egocentric vision foundation model with a large language model (LLM), enabling advanced functionalities such as scene understanding, temporal grounding, video summarization, and future planning. To enhance its utility, Vinci incorporates a memory module for processing long video streams in real time w","extracted","abstract_only","2026-04-17T08:51:09.203701+00:00","gemini-3.1-pro-preview","5898","310","0.0155",""
"doi:10.1145/3696630.3727235","""Person is a person, a tool is a tool"" - ChatGPT’s Role in Student Help-Seeking Behavior and Peer Support","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","Generative Artificial Intelligence (GenAI) tools, such as ChatGPT, are reshaping higher education. In research, a lot of attention has been given to concerns like academic integrity and how to integrate AI into learning and teaching. However, little is known about how these tools impact student help-seeking patterns and peer interactions. This short paper investigates GenAI tools, help-seeking preferences and the importance of peer support among first-year software engineering students (n=94). O","extracted","abstract_only","2026-04-17T08:51:10.419625+00:00","gemini-3.1-pro-preview","5833","328","0.0156",""
"doi:10.1145/3745900.3746089","Augmented Body Communicator: Enhancing daily body expression for people with upper limb limitations through LLM and a robotic arm","","2025","Proceedings of the Augmented Humans International Conference 2025","Not found","Not found","Individuals with upper limb movement limitations face difficulties interacting with others. Currently, the use of robotic arms is focused on addressing functional tasks, but there is still significant room for exploration around enhancing users’ body language capabilities during social interactions. This paper proposes an Augmented Body Communicator system that combines robotic arms and a large language model. Thanks to the incorporation of kinetic memory disabled users and their supporters can ","extracted","fulltext","2026-04-17T08:51:10.552978+00:00","gemini-3.1-pro-preview","12325","805","0.0343",""
"doi:10.3390/fi17090418","Refactoring Loops in the Era of LLMs: A Comprehensive Study","","2025","Future Internet","Not found","Not found","Java 8 brought functional programming to the Java language and library, enabling more expressive and concise code to replace loops by using streams. Despite such advantages, for-loops remain prevalent in current codebases as the transition to the functional paradigm requires a significant shift in the developer mindset. Traditional approaches for assisting refactoring loops into streams check a set of strict preconditions to ensure correct transformation, hence limiting their applicability. Conv","extracted","abstract_only","2026-04-17T08:51:16.627721+00:00","gemini-3.1-pro-preview","5869","286","0.0152",""
"doi:10.1145/3696630.3731667","Why Do Software Practitioners Use ChatGPT for Software Development Tasks?","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","We have seen a drastic increase in the use of AI assistants like ChatGPT as a tool within the context of software engineering. As such, numerous studies have emerged to examine the various usages and perceptions of ChatGPT as a tool to support the completion of software development tasks, such as coding and program comprehension. Despite all the evidence of use in practice, little to no work has investigated why software practitioners use AI assistants like ChatGPT in lieu of (or as a supplement","extracted","abstract_only","2026-04-17T08:51:18.483432+00:00","gemini-3.1-pro-preview","5817","625","0.0191",""
"doi:10.1145/3696630.3728698","How Well Do ChatGPT Models Maintain Software?","","2025","Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering","Not found","Not found","Since the launch of ChatGPT in 2022, people have conducted various studies to investigate its capabilities in code generation, bug-fixing, test generation, and program comprehension. While ChatGPT has demonstrated strong capabilities in several aspects of software engineering, their effectiveness in maintaining software remains under-explored. Motivated by such a lack of study, we conducted an empirical study to systematically evaluate the performance of ChatGPT in software maintenance. Specific","extracted","abstract_only","2026-04-17T08:51:25.318576+00:00","gemini-3.1-pro-preview","5911","317","0.0156",""
"doi:10.1002/spe.3432","NoCodeGPT: A No-Code Interface for Building Web Apps With Language Models","","2025","Software Practice and Experience","B","Journal","ABSTRACT Background Language models are increasingly used by software developers. However, it remains unclear whether their standard chat‐based interfaces are suitable for software development—especially for users with limited programming experience. Objective This work presents a tool, called NoCodeGPT, that provides a customized interface for language models aimed at enabling the implementation of small web applications without writing code. Methods We first conducted an exploratory study in w","extracted","fulltext","2026-04-17T08:51:29.112728+00:00","gemini-3.1-pro-preview","21667","915","0.0543",""
"doi:10.1145/3696630.3727244","A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","Testing is widely practiced in software engineering, and many tools have been developed to support students in learning testing. Prior research suggests that a lightweight testing checklist improves learning outcomes but doesn't address students' challenges in writing test code that matches their intentions or design. Meanwhile, generative AI tools (e.g., ChatGPT) bring new promise as another form of software assistance tool. In this study, we examined the impact of various support tools (checkl","extracted","abstract_only","2026-04-17T08:51:29.204013+00:00","gemini-3.1-pro-preview","5876","366","0.0161",""
"doi:10.1145/3716167","Towards Reliable Evaluation of Neural Program Repair with Natural Robustness Testing","","2025","ACM Transactions on Software Engineering and Methodology","A*","Journal","Automated program repair (APR) has recently gained ground, with numerous research efforts being conducted in the area that have been adopted in the industry. One notable class of APR is neural program repair (NPR), which typically employs deep learning techniques that are trained on vast amounts of historical data to fix bugs that have not been seen in the past. To study the true effectiveness of NPR on existing limited datasets, recent work augments the evaluation data by employing semantics-pr","extracted","fulltext","2026-04-17T08:51:31.765699+00:00","gemini-3.1-pro-preview","27893","1048","0.0684",""
"doi:10.1145/3715007","An Empirical Study on Challenges for LLM Application Developers","","2025","ACM Trans. Softw. Eng. Methodol.","A*","Journal","In recent years, large language models (LLMs) have seen rapid advancements, significantly impacting various fields such as computer vision, natural language processing, and software engineering. These LLMs, exemplified by OpenAI's ChatGPT, have revolutionized the way we approach language understanding and generation tasks. However, in contrast to traditional software development practices, LLM development introduces new challenges for AI developers in design, implementation, and deployment. Thes","extracted","abstract_only","2026-04-17T08:51:38.064321+00:00","gemini-3.1-pro-preview","5856","298","0.0153",""
"doi:10.1145/3696630.3728718","Challenges and Opportunities for Generative AI in Software Engineering: A Managerial View","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","Generative artificial intelligence (GenAI) has shown a strong potential to automate tasks, increase productivity, and enhance software quality. Managers have an important role in adopting GenAI as they lead strategic planning and team coordination. This study examines the software engineering tasks that managers consider suitable for large language models (LLMs), as well as the role of management and education in software engineering practices. The study reviews current applications in practice ","extracted","abstract_only","2026-04-17T08:51:45.125199+00:00","gemini-3.1-pro-preview","5799","321","0.0155",""
"doi:10.1145/3696630.3728547","LLM-Augmented Ticket Aggregation for Low-cost Mobile OS Defect Resolution","","2025","Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering","Not found","Not found","Mobile OS often exhibit defects due to their complexity and frequent updates, adversely affecting user experience. To resolve these defects, OS providers enlist beta users to test the OS. During testing, any defects encountered are recorded in tickets and reported back to the providers. However, the sheer volume of these tickets significantly challenges the efficiency of the ticket handling system, especially during the triage phase, where engineers assign tickets to appropriate development team","extracted","abstract_only","2026-04-17T08:51:45.136014+00:00","gemini-3.1-pro-preview","5907","374","0.0163",""
"doi:10.1145/3696630.3730566","Human-AI Collaboration in Software Development: A Mixed-Methods Study of Developers’ Use of GitHub Copilot and ChatGPT","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","The integration of AI-powered coding assistants into software development presents both opportunities and challenges. These tools promise enhanced productivity and code quality while introducing significant concerns related to workflow integration, accuracy, reliability, and ethical considerations. This study investigates how software developers interact with Generative AI (GenAI) tools in a large-scale public sector organization. Using a mixed-methods approach, we analyze 13 interviews and a su","extracted","fulltext","2026-04-17T08:51:47.867839+00:00","gemini-3.1-pro-preview","9725","1324","0.0353",""
"doi:10.1145/3698205.3733960","The GPT Surprise: Offering Large Language Model Chat in a Massive Coding Class Reduced Engagement But May Increase Adopters' Exam Performances","","2025","L@s 2025 Proceedings of the 12th ACM Conference on Learning @ Scale","Not found","Not found","Large language models (LLMs) are quickly being adopted in a wide range of learning experiences, especially via ubiquitous and broadly accessible chat interfaces like ChatGPT. This type of interface is readily available to students and teachers around the world. Coding education is an interesting test case, both because LLMs have strong performance on coding tasks, and because LLM-powered support tools are rapidly becoming part of the workflow of professional software engineers. To help understan","extracted","abstract_only","2026-04-17T08:51:53.306483+00:00","gemini-3.1-pro-preview","5943","342","0.016",""
"doi:10.1145/3696630.3728559","Using Large Language Models to Support the Workflow of Differential Testing","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","Many software development teams use differential testing as a quality gate in their release process. Differential testing—namely, comparing behavioral differences between a system in production and a system in test—is a laborious process to label changes as regressions, expected changes, or incidental changes (e.g. those due to nondeterminism or timing). This manual process involves inspecting large textual artifacts, like logs, pull requests, and team discussions, which suggests that Large Lang","extracted","fulltext","2026-04-17T08:51:55.691347+00:00","gemini-3.1-pro-preview","11285","1174","0.0367",""
"doi:10.1145/3696630.3728541","Natural Language Outlines for Code: Literate Programming in the LLM Era","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","We propose using natural language outlines as a novel modality and interaction surface for providing AI assistance to developers throughout the software development process. An NL outline for a code function comprises multiple statements written in concise prose, which partition the code and summarize its main ideas in the style of literate programming. Crucially, we find that modern LLMs can generate accurate and high-quality NL outlines in practice. Moreover, NL outlines enable a bidirectional","extracted","abstract_only","2026-04-17T08:52:02.431357+00:00","gemini-3.1-pro-preview","5817","321","0.0155",""
"doi:10.3390/info16070565","A Student-Centric Evaluation Survey to Explore the Impact of LLMs on UML Modeling","","2025","Information Switzerland","Not found","Not found","Unified Modeling Language (UML) diagrams serve as essential tools for visualizing system structure and behavior in software design. With the emergence of Large Language Models (LLMs) that automate various phases of software development, there is growing interest in leveraging these models for UML diagram generation. This study presents a comprehensive empirical investigation into the effectiveness of GPT-4-turbo in generating four fundamental UML diagram types: Class, Deployment, Use Case, and S","extracted","abstract_only","2026-04-17T08:52:06.520743+00:00","gemini-3.1-pro-preview","5919","365","0.0162",""
"doi:10.1145/3696630.3728552","BitsAI-CR: Automated Code Review via LLM in Practice","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","Code review remains a critical yet resource-intensive process in software development, particularly challenging in large-scale industrial environments. While Large Language Models (LLMs) show promise for automating code review, existing solutions face significant limitations in precision and practicality. This paper presents BitsAI-CR, an innovative framework that enhances code review through a two-stage approach combining RuleChecker for initial issue detection and ReviewFilter for precision ve","extracted","fulltext","2026-04-17T08:52:13.198170+00:00","gemini-3.1-pro-preview","11285","1046","0.0351",""
"doi:10.1145/3707640.3731915","Investigating the Impact of AI-Assisted Tools on Software Practitioner Well-Being","","2025","Adjunct Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work","Not found","Not found","The increasing adoption of AI-assisted tools, like ChatGPT, in software development presents both opportunities and challenges. While these tools enhance productivity and streamline tasks, they also introduce new job demands, such as cognitive overload, that can impact practitioners’ well-being. Well-being in this context includes mental, emotional, and physical health factors, such as job satisfaction, stress, burnout, and engagement. This paper presents preliminary findings from a study ground","extracted","abstract_only","2026-04-17T08:52:18.181279+00:00","gemini-3.1-pro-preview","5833","643","0.0194",""
"doi:10.1016/j.infsof.2025.107751","Copiloting the future: How generative AI transforms Software Engineering","","2025","Information and Software Technology","A","Journal","Context With rapid technological advancements, artificial intelligence (AI) has become integral to various sectors. Generative AI (GenAI) tools like ChatGPT or GitHub Copilot, with their unique content creation capabilities, pose transformative potential in Software Engineering by offering new ways to optimize software development processes. However, the integration into current processes also presents challenges that require a sociotechnical analysis to effectively realize GenAI's potential. Ob","extracted","fulltext","2026-04-17T08:52:20.621758+00:00","gemini-3.1-pro-preview","13127","1490","0.0441",""
"doi:10.1145/3719160.3736625","Outcomes, Perceptions, and Interaction Strategies of Novice Programmers Studying with ChatGPT","","2025","Cui 2025 Proceedings of the 2025 ACM Conference on Conversational User Interfaces","Not found","Not found","","extracted","abstract_only","2026-04-17T08:52:21.929584+00:00","gemini-3.1-pro-preview","5647","318","0.0151",""
"doi:10.1145/3726302.3729960","Efficiency and Effectiveness of LLM-Based Summarization of Evidence in Crowdsourced Fact-Checking","","2025","SIGIR 2025 Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval","A*","Conference","Evaluating the truthfulness of online content is critical for combating misinformation. This study examines the efficiency and effectiveness of crowdsourced truthfulness assessments through a comparative analysis of two approaches: one involving full-length webpages as evidence for each claim, and another using summaries for each evidence document generated with an LLM. Using an A/B testing setting, we engage a diverse pool of participants tasked with evaluating the truthfulness of statements un","extracted","fulltext","2026-04-17T08:52:26.883034+00:00","gemini-3.1-pro-preview","11285","998","0.0345",""
"doi:10.1145/3708518","Explaining Explanations: An Empirical Study of Explanations in Code Reviews","","2025","ACM Transactions on Software Engineering and Methodology","A*","Journal","Code reviews are central for software quality assurance. Ideally, reviewers should explain their feedback to enable authors of code changes to understand the feedback and act accordingly. Different developers might need different explanations in different contexts. Therefore, assisting this process first requires understanding the types of explanations reviewers usually provide. The goal of this article is to study the types of explanations used in code reviews and explore the potential of Large","extracted","fulltext","2026-04-17T08:52:28.306807+00:00","gemini-3.1-pro-preview","20977","962","0.0535",""
"doi:10.1145/3696630.3728533","From Prompts to Templates: A Systematic Prompt Template Analysis for Real-world LLMapps","","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Not found","Large Language Models (LLMs) have revolutionized human-AI interaction by enabling intuitive task execution through natural language prompts. Despite their potential, designing effective prompts remains a significant challenge, as small variations in structure or wording can result in substantial differences in output. To address these challenges, LLM-powered applications (LLMapps) rely on prompt templates to simplify interactions, enhance usability, and support specialized tasks such as document","extracted","fulltext","2026-04-17T08:52:29.579467+00:00","gemini-3.1-pro-preview","11805","1150","0.0374",""
"doi:10.1145/3708319.3733810","Towards the Embodied Conversational Interview Agentic Service ELIAS: Development and Evaluation of a First Prototype","","2025","Umap 2025 Adjunct Proceedings of the 33rd ACM Conference on User Modeling Adaptation and Personalization","Not found","Not found","Interviews in social and health sciences are resource intensive and susceptible to interviewer bias, inconsistency, and variability across interviewers.Moreover, human-led interviews may inhibit participant openness, especially regarding sensitive topics, due to judgment, compromised anonymity, or discomfort in face-toface interactions.These shortcomings limit the quality of the data collected.To this end, we propose the Embodied Conversational Interview Agentic Service (ELIAS).Informed by human","extracted","fulltext","2026-04-17T08:52:41.405526+00:00","gemini-3.1-pro-preview","8165","849","0.0265",""
"doi:10.3390/app15126836","Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming","","2025","Applied Sciences Switzerland","Not found","Not found","This study investigates the effects of LLM-based coding assistance on web application development by students using a frontend framework. Rather than comparing different models, it focuses on how students interact with LLM tools to isolate the impact of query type on coding success. To this end, participants were instructed to rely exclusively on LLMs for writing code, based on a given set of specifications, and their queries were categorized into seven types: Error Fixing (EF), Feature Implemen","extracted","abstract_only","2026-04-17T08:52:43.792130+00:00","gemini-3.1-pro-preview","5816","792","0.0211",""
"doi:10.15587/2706-5448.2025.326899","DETERMINING THE CAPABILITIES OF GENERATIVE ARTIFICIAL INTELLIGENCE TOOLS TO INCREASE THE EFFICIENCY OF REFACTORING PROCESS","","2025","Technology Audit and Production Reserves","Not found","Not found","The object of research is a source code refactoring facilitated and proctored by generative artificial intelligence tools. The paper is aimed at assessing their impact on refactoring quality while determining their practical applicability for improving software maintainability and efficiency. The problem addressed in this research is the limitations of traditional rule-based refactoring tools, which require predefined rules and are often language-specific. Generative AI, with its advanced patter","extracted","abstract_only","2026-04-17T08:52:45.423496+00:00","gemini-3.1-pro-preview","5971","427","0.0171",""
"doi:10.1007/s10664-025-10614-4","Bugs in large language models generated code: an empirical study","","2025","Empirical Software Engineering","A*","Journal","","extracted","fulltext","2026-04-17T08:52:47.206541+00:00","gemini-3.1-pro-preview","32019","1166","0.078",""
"doi:10.1108/itp-01-2023-0084","AI in software programming: understanding emotional responses to GitHub Copilot","","2025","Information Technology and People","Not found","Not found","Purpose The applications of Artificial Intelligence (AI) in various areas of professional and knowledge work are growing. Emotions play an important role in how users incorporate a technology into their work practices. The current study draws on work in the areas of AI-powered technologies adaptation, emotions, and the future of work, to investigate how knowledge workers feel about adopting AI in their work. Design/methodology/approach We gathered 107,111 tweets about the new AI programmer, GitH","extracted","abstract_only","2026-04-17T08:52:58.015234+00:00","gemini-3.1-pro-preview","6053","315","0.0159",""
"doi:10.1145/3712005","The Current Challenges of Software Engineering in the Era of Large Language Models","","2025","ACM Transactions on Software Engineering and Methodology","A*","Journal","With the advent of large language models (LLMs) in the AI area, the field of software engineering (SE) has also witnessed a paradigm shift. These models, by leveraging the power of deep learning and massive amounts of data, have demonstrated an unprecedented capacity to understand, generate, and operate programming languages. They can assist developers in completing a broad spectrum of software development activities, encompassing software design, automated programming, and maintenance, which po","extracted","fulltext","2026-04-17T08:52:59.827543+00:00","gemini-3.1-pro-preview","21509","1066","0.0558",""
"doi:10.1145/3672608.3707778","My Code Is Less Secure with Gen AI: Surveying Developers' Perceptions of the Impact of Code Generation Tools on Security","","2025","Proceedings of the ACM Symposium on Applied Computing","Not found","Not found","Background: Generative AI (GAI) tools like GitHub Copilot and ChatGPT are transforming software development by automating code generation and enhancing developers' productivity. However, since these tools are often trained on open-source repositories, they may inadvertently reproduce vulnerable code, raising concerns about the security of AI-generated outputs. Aims: In this paper, we aim to investigate how developers perceive code security when using GAI tools. Method: We conducted a survey with","extracted","abstract_only","2026-04-17T08:53:01.350227+00:00","gemini-3.1-pro-preview","5859","330","0.0157",""
